year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
1982,historical,Indian,-6.69,-3.25,-3.97,2.31,2.84,"Year: 1982
Mean change: -3.2%
SD: ±2.8%"
1982,historical,Pacific,-9.02,-3.37,-3.91,4.23,3.94,"Year: 1982
Mean change: -3.4%
SD: ±3.9%"
1983,historical,Atlantic,-11.82,-5.89,-4.54,1.15,4.59,"Year: 1983
Mean change: -5.9%
SD: ±4.6%"
1983,historical,Indian,-6.42,-1.59,-1.66,3.09,2.79,"Year: 1983
Mean change: -1.6%
SD: ±2.8%"
1983,historical,Pacific,-12.18,-2.72,-1.7,3.15,4.48,"Year: 1983
Mean change: -2.7%
SD: ±4.5%"
1984,historical,Atlantic,-9.78,-3.1,-2.78,6.5,4.57,"Year: 1984
Mean change: -3.1%
SD: ±4.6%"
1984,historical,Indian,-8.29,-1.56,-1.78,5.36,3.84,"Year: 1984
Mean change: -1.6%
SD: ±3.8%"
1984,historical,Pacific,-10.66,-1.01,1.01,6.27,5.03,"Year: 1984
Mean change: -1%
SD: ±5%"
1985,historical,Atlantic,-9.47,-3.49,-3.41,2.57,3.7,"Year: 1985
Mean change: -3.5%
SD: ±3.7%"
1985,historical,Indian,-9.09,-2.51,-3.27,2.95,3.73,"Year: 1985
Mean change: -2.5%
SD: ±3.7%"
1985,historical,Pacific,-7.02,-1.98,-1.83,2.97,3.29,"Year: 1985
Mean change: -2%
SD: ±3.3%"
1986,historical,Atlantic,-10.53,-3.74,-3.77,1.66,3.99,"Year: 1986
Mean change: -3.7%
SD: ±4%"
1986,historical,Indian,-7.86,-1.55,-1.41,3.12,3.9,"Year: 1986
Mean change: -1.6%
SD: ±3.9%"
1986,historical,Pacific,-6.58,-0.94,-0.97,4.7,4.43,"Year: 1986
Mean change: -0.9%
SD: ±4.4%"
1987,historical,Atlantic,-7.08,-3.37,-3.34,1.59,2.81,"Year: 1987
Mean change: -3.4%
SD: ±2.8%"
1987,historical,Indian,-6.3,-1.63,-1.61,2.93,2.96,"Year: 1987
Mean change: -1.6%
SD: ±3%"
1987,historical,Pacific,-7.51,-0.1,0.48,5.47,4.63,"Year: 1987
Mean change: -0.1%
SD: ±4.6%"
1988,historical,Atlantic,-8.05,-2.54,-1.92,3.04,3.79,"Year: 1988
Mean change: -2.5%
SD: ±3.8%"
1988,historical,Indian,-5.19,-0.69,-1.29,4.37,3.59,"Year: 1988
Mean change: -0.7%
SD: ±3.6%"
1988,historical,Pacific,-7.53,0.9,1.41,6.69,4.76,"Year: 1988
Mean change: 0.9%
SD: ±4.8%"
1989,historical,Atlantic,-8.95,-0.92,-0.49,5.96,4.41,"Year: 1989
Mean change: -0.9%
SD: ±4.4%"
1989,historical,Indian,-5.07,-0.89,-0.98,4.33,3.54,"Year: 1989
Mean change: -0.9%
SD: ±3.5%"
1989,historical,Pacific,-5.86,-1.14,-1.6,6.69,4.32,"Year: 1989
Mean change: -1.1%
SD: ±4.3%"
1990,historical,Atlantic,-12.85,-0.33,1.56,6.37,5.57,"Year: 1990
Mean change: -0.3%
SD: ±5.6%"
1990,historical,Indian,-8.19,-1.06,-1.74,5.38,4.44,"Year: 1990
Mean change: -1.1%
SD: ±4.4%"
1990,historical,Pacific,-6.88,0.64,-0.01,9.83,6.01,"Year: 1990
Mean change: 0.6%
SD: ±6%"
1991,historical,Atlantic,-9.83,-1.94,-2.49,4.29,4,"Year: 1991
Mean change: -1.9%
SD: ±4%"
1991,historical,Indian,-4.56,0.81,0.07,6.14,3.57,"Year: 1991
Mean change: 0.8%
SD: ±3.6%"
1991,historical,Pacific,-5.01,0.74,0.18,8.49,4.27,"Year: 1991
Mean change: 0.7%
SD: ±4.3%"
1992,historical,Atlantic,-5.26,-0.42,-0.54,5,3.09,"Year: 1992
Mean change: -0.4%
SD: ±3.1%"
1992,historical,Indian,-6.59,-1.62,-3.52,5.94,5.19,"Year: 1992
Mean change: -1.6%
SD: ±5.2%"
1992,historical,Pacific,-9.83,-2.63,-4.77,9.37,6.49,"Year: 1992
Mean change: -2.6%
SD: ±6.5%"
1993,historical,Atlantic,-5.08,0.25,-0.06,4.65,3.19,"Year: 1993
Mean change: 0.2%
SD: ±3.2%"
1993,historical,Indian,-6.16,-0.29,0.97,4.95,3.88,"Year: 1993
Mean change: -0.3%
SD: ±3.9%"
1993,historical,Pacific,-11.33,-1.69,-2.87,7.97,6.28,"Year: 1993
Mean change: -1.7%
SD: ±6.3%"
1994,historical,Atlantic,-7.67,-0.45,0.99,4.9,4.73,"Year: 1994
Mean change: -0.4%
SD: ±4.7%"
1994,historical,Indian,-3.54,-0.54,-1.36,3.91,2.65,"Year: 1994
Mean change: -0.5%
SD: ±2.6%"
1994,historical,Pacific,-11.57,-1.69,-1.5,6.74,5.11,"Year: 1994
Mean change: -1.7%
SD: ±5.1%"
1995,historical,Atlantic,-2.18,0.17,-0.41,4.16,2.12,"Year: 1995
Mean change: 0.2%
SD: ±2.1%"
1995,historical,Indian,-4.72,0.12,1.25,4.16,3.44,"Year: 1995
Mean change: 0.1%
SD: ±3.4%"
1995,historical,Pacific,-11.54,-1.54,-0.95,5.63,5.03,"Year: 1995
Mean change: -1.5%
SD: ±5%"
1996,historical,Atlantic,-7.17,-2.23,-2.7,2.03,3.39,"Year: 1996
Mean change: -2.2%
SD: ±3.4%"
1996,historical,Indian,-5.69,-2.03,-3.39,2.87,3.02,"Year: 1996
Mean change: -2%
SD: ±3%"
1996,historical,Pacific,-13.68,-1.99,-2.76,5.22,5.5,"Year: 1996
Mean change: -2%
SD: ±5.5%"
1997,historical,Atlantic,-4.84,0.8,0.84,8.45,3.46,"Year: 1997
Mean change: 0.8%
SD: ±3.5%"
1997,historical,Indian,-6.83,-0.68,0.68,2.71,3.39,"Year: 1997
Mean change: -0.7%
SD: ±3.4%"
1997,historical,Pacific,-11.9,-3.76,-4.48,3.86,4.36,"Year: 1997
Mean change: -3.8%
SD: ±4.4%"
1998,historical,Atlantic,-1.82,0.22,0.27,2.21,1.45,"Year: 1998
Mean change: 0.2%
SD: ±1.4%"
1998,historical,Indian,-4.32,-0.22,0.96,2.52,2.72,"Year: 1998
Mean change: -0.2%
SD: ±2.7%"
1998,historical,Pacific,-9.08,-4,-4.47,2.55,3.52,"Year: 1998
Mean change: -4%
SD: ±3.5%"
1999,historical,Atlantic,-4.65,-0.28,0.32,2.17,1.98,"Year: 1999
Mean change: -0.3%
SD: ±2%"
1999,historical,Indian,-4.46,-0.24,0.37,2.56,2.3,"Year: 1999
Mean change: -0.2%
SD: ±2.3%"
1999,historical,Pacific,-8.37,-1.89,-2.41,3.03,4.07,"Year: 1999
Mean change: -1.9%
SD: ±4.1%"
2000,historical,Atlantic,-5.63,-0.92,-0.18,1.83,2.68,"Year: 2000
Mean change: -0.9%
SD: ±2.7%"
2000,historical,Indian,-4.86,-1.61,-1.4,1.62,2.36,"Year: 2000
Mean change: -1.6%
SD: ±2.4%"
2000,historical,Pacific,-5.81,-2.13,-2.15,1.57,2.29,"Year: 2000
Mean change: -2.1%
SD: ±2.3%"
2001,historical,Atlantic,-8.06,-0.68,-0.18,2.4,3.16,"Year: 2001
Mean change: -0.7%
SD: ±3.2%"
2001,historical,Indian,-4.72,0.58,0.77,5.16,2.96,"Year: 2001
Mean change: 0.6%
SD: ±3%"
2001,historical,Pacific,-8.28,-0.12,1.23,4.05,3.58,"Year: 2001
Mean change: -0.1%
SD: ±3.6%"
2002,historical,Atlantic,-1.29,1.08,1.33,2.78,1.51,"Year: 2002
Mean change: 1.1%
SD: ±1.5%"
2002,historical,Indian,-4.52,0.42,1.1,2.84,1.98,"Year: 2002
Mean change: 0.4%
SD: ±2%"
2002,historical,Pacific,-8.47,-0.74,0.25,3.53,3.76,"Year: 2002
Mean change: -0.7%
SD: ±3.8%"
2003,historical,Atlantic,-10.25,-2.21,-1.68,1.12,3.33,"Year: 2003
Mean change: -2.2%
SD: ±3.3%"
2003,historical,Indian,-7.89,-2.83,-4.07,3.94,3.96,"Year: 2003
Mean change: -2.8%
SD: ±4%"
2003,historical,Pacific,-4.07,0.02,0.16,5.84,2.81,"Year: 2003
Mean change: 0%
SD: ±2.8%"
2004,historical,Atlantic,-9.04,-1.78,-0.28,0.98,3.03,"Year: 2004
Mean change: -1.8%
SD: ±3%"
2004,historical,Indian,-7.33,-2.93,-3.46,1.78,2.96,"Year: 2004
Mean change: -2.9%
SD: ±3%"
2004,historical,Pacific,-7.8,-0.91,-0.5,6.7,4.57,"Year: 2004
Mean change: -0.9%
SD: ±4.6%"
2005,historical,Atlantic,-10.71,-1.62,-0.47,2.45,3.78,"Year: 2005
Mean change: -1.6%
SD: ±3.8%"
2005,historical,Indian,-4.02,-2.13,-2.69,0.37,1.61,"Year: 2005
Mean change: -2.1%
SD: ±1.6%"
2005,historical,Pacific,-5.76,-0.98,-0.22,1.83,2.67,"Year: 2005
Mean change: -1%
SD: ±2.7%"
2006,historical,Atlantic,-7.62,-2.47,-1.73,0.63,2.99,"Year: 2006
Mean change: -2.5%
SD: ±3%"
