year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
2053,ssp126,Indian,-9,-1.16,-0.68,3.32,3.47,"Year: 2053
Mean change: -1.2%
SD: ±3.5%"
2053,ssp126,Pacific,-17.08,-3.45,-1.47,7.44,7.18,"Year: 2053
Mean change: -3.5%
SD: ±7.2%"
2053,ssp585,Atlantic,-6.45,-0.15,-0.63,7.29,3.61,"Year: 2053
Mean change: -0.1%
SD: ±3.6%"
2053,ssp585,Indian,-8.59,-3.25,-4.45,5.56,4.41,"Year: 2053
Mean change: -3.2%
SD: ±4.4%"
2053,ssp585,Pacific,-12.84,-3.03,-3.02,3.62,5.42,"Year: 2053
Mean change: -3%
SD: ±5.4%"
2054,ssp126,Atlantic,-10.44,-0.5,-1.28,5.46,4.82,"Year: 2054
Mean change: -0.5%
SD: ±4.8%"
2054,ssp126,Indian,-8.76,-2.97,-3.95,7.29,4.84,"Year: 2054
Mean change: -3%
SD: ±4.8%"
2054,ssp126,Pacific,-17.28,-4.19,-2.73,2.55,5.79,"Year: 2054
Mean change: -4.2%
SD: ±5.8%"
2054,ssp585,Atlantic,-7.09,-0.35,-0.75,9.34,4.53,"Year: 2054
Mean change: -0.3%
SD: ±4.5%"
2054,ssp585,Indian,-8.6,-3.08,-4.58,5.13,4.13,"Year: 2054
Mean change: -3.1%
SD: ±4.1%"
2054,ssp585,Pacific,-12.99,-4.83,-4.4,0.52,3.7,"Year: 2054
Mean change: -4.8%
SD: ±3.7%"
2055,ssp126,Atlantic,-11.15,-1.89,-1.45,6.12,5.65,"Year: 2055
Mean change: -1.9%
SD: ±5.7%"
2055,ssp126,Indian,-8.07,-0.77,-1.35,7.44,4.77,"Year: 2055
Mean change: -0.8%
SD: ±4.8%"
2055,ssp126,Pacific,-17.19,-4.19,-3.11,4.54,5.68,"Year: 2055
Mean change: -4.2%
SD: ±5.7%"
2055,ssp585,Atlantic,-7.84,0.03,-1.72,9.47,5.62,"Year: 2055
Mean change: 0%
SD: ±5.6%"
2055,ssp585,Indian,-8.57,-4.37,-5.14,4.92,4.07,"Year: 2055
Mean change: -4.4%
SD: ±4.1%"
2055,ssp585,Pacific,-13.16,-2.86,-3.3,7.88,5.81,"Year: 2055
Mean change: -2.9%
SD: ±5.8%"
2056,ssp126,Atlantic,-12.07,-1.42,-0.16,3.84,5.02,"Year: 2056
Mean change: -1.4%
SD: ±5%"
2056,ssp126,Indian,-7.93,-1.9,-3.36,4.49,4.33,"Year: 2056
Mean change: -1.9%
SD: ±4.3%"
2056,ssp126,Pacific,-16.99,-3.91,-3.47,2.86,5.46,"Year: 2056
Mean change: -3.9%
SD: ±5.5%"
2056,ssp585,Atlantic,-8.33,1.71,1.26,9.11,5.34,"Year: 2056
Mean change: 1.7%
SD: ±5.3%"
2056,ssp585,Indian,-8.53,-2.75,-4.18,7.56,5.4,"Year: 2056
Mean change: -2.8%
SD: ±5.4%"
2056,ssp585,Pacific,-13.28,-4.75,-4.57,3.53,4.39,"Year: 2056
Mean change: -4.8%
SD: ±4.4%"
2057,ssp126,Atlantic,-12.94,-1.68,-1.7,5.35,4.7,"Year: 2057
Mean change: -1.7%
SD: ±4.7%"
2057,ssp126,Indian,-9.59,-3.99,-3.84,3.07,3.85,"Year: 2057
Mean change: -4%
SD: ±3.9%"
2057,ssp126,Pacific,-17.11,-5.35,-4.65,0.75,4.84,"Year: 2057
Mean change: -5.3%
SD: ±4.8%"
2057,ssp585,Atlantic,-8.52,0.26,-0.33,7.82,4.67,"Year: 2057
Mean change: 0.3%
SD: ±4.7%"
2057,ssp585,Indian,-8.36,-3.25,-4.62,3.97,3.92,"Year: 2057
Mean change: -3.2%
SD: ±3.9%"
2057,ssp585,Pacific,-13.59,-5.11,-7.6,7.44,6.1,"Year: 2057
Mean change: -5.1%
SD: ±6.1%"
2058,ssp126,Atlantic,-13.37,-1.64,-1.7,7.14,5.62,"Year: 2058
Mean change: -1.6%
SD: ±5.6%"
2058,ssp126,Indian,-9.35,-2.64,-3.38,3.53,3.98,"Year: 2058
Mean change: -2.6%
SD: ±4%"
2058,ssp126,Pacific,-17.59,-5.73,-4.88,2.55,5.31,"Year: 2058
Mean change: -5.7%
SD: ±5.3%"
2058,ssp585,Atlantic,-8.21,0.69,0.47,7.15,4.45,"Year: 2058
Mean change: 0.7%
SD: ±4.4%"
2058,ssp585,Indian,-8.06,-2.28,-3.68,6.23,5.02,"Year: 2058
Mean change: -2.3%
SD: ±5%"
2058,ssp585,Pacific,-14.14,-4.35,-4.07,4.1,5.08,"Year: 2058
Mean change: -4.3%
SD: ±5.1%"
2059,ssp126,Atlantic,-13.52,-1.27,-1.58,7.22,6.35,"Year: 2059
Mean change: -1.3%
SD: ±6.3%"
2059,ssp126,Indian,-9.98,-1.09,-1.64,6.55,4.81,"Year: 2059
Mean change: -1.1%
SD: ±4.8%"
2059,ssp126,Pacific,-18.13,-5.6,-4.17,0.89,5.55,"Year: 2059
Mean change: -5.6%
SD: ±5.6%"
2059,ssp585,Atlantic,-7.8,-0.02,-0.92,10.43,5.09,"Year: 2059
Mean change: 0%
SD: ±5.1%"
2059,ssp585,Indian,-7.89,-2.82,-3.78,6.79,4.71,"Year: 2059
Mean change: -2.8%
SD: ±4.7%"
2059,ssp585,Pacific,-14.93,-5.55,-5.75,1.97,4.64,"Year: 2059
Mean change: -5.6%
SD: ±4.6%"
2060,ssp126,Atlantic,-13.46,-1.2,-0.87,4.86,4.88,"Year: 2060
Mean change: -1.2%
SD: ±4.9%"
2060,ssp126,Indian,-10.08,-2.87,-2.49,4,4.47,"Year: 2060
Mean change: -2.9%
SD: ±4.5%"
2060,ssp126,Pacific,-18.46,-4.97,-3.77,1.14,6.32,"Year: 2060
Mean change: -5%
SD: ±6.3%"
2060,ssp585,Atlantic,-7.69,1,0.02,12.28,5.44,"Year: 2060
Mean change: 1%
SD: ±5.4%"
2060,ssp585,Indian,-8.05,-2.55,-3.66,6.85,5.22,"Year: 2060
Mean change: -2.5%
SD: ±5.2%"
2060,ssp585,Pacific,-15.73,-4.81,-4.48,4.26,5.66,"Year: 2060
Mean change: -4.8%
SD: ±5.7%"
2061,ssp126,Atlantic,-13.41,-1.63,-1.86,4.01,4.75,"Year: 2061
Mean change: -1.6%
SD: ±4.8%"
2061,ssp126,Indian,-9.81,-3.54,-2.9,2.54,4.11,"Year: 2061
Mean change: -3.5%
SD: ±4.1%"
2061,ssp126,Pacific,-18.49,-3.78,-2.79,6.71,7.12,"Year: 2061
Mean change: -3.8%
SD: ±7.1%"
2061,ssp585,Atlantic,-7.78,-0.39,-1.36,10.7,5.01,"Year: 2061
Mean change: -0.4%
SD: ±5%"
2061,ssp585,Indian,-7.41,-3.09,-4.46,6.98,4.44,"Year: 2061
Mean change: -3.1%
SD: ±4.4%"
2061,ssp585,Pacific,-16.37,-5.39,-4.29,1.06,4.87,"Year: 2061
Mean change: -5.4%
SD: ±4.9%"
2062,ssp126,Atlantic,-13.48,1.26,1.85,11.41,6.65,"Year: 2062
Mean change: 1.3%
SD: ±6.7%"
2062,ssp126,Indian,-9.36,-1.3,-2.69,9.83,5.86,"Year: 2062
Mean change: -1.3%
SD: ±5.9%"
2062,ssp126,Pacific,-18.4,-4.07,-3.79,6.33,6.24,"Year: 2062
Mean change: -4.1%
SD: ±6.2%"
2062,ssp585,Atlantic,-7.97,-0.43,-1.65,9.64,5.21,"Year: 2062
Mean change: -0.4%
SD: ±5.2%"
2062,ssp585,Indian,-7.72,-3.1,-4.96,6.47,4.99,"Year: 2062
Mean change: -3.1%
SD: ±5%"
2062,ssp585,Pacific,-16.86,-3.19,-2.49,7.7,6.86,"Year: 2062
Mean change: -3.2%
SD: ±6.9%"
2063,ssp126,Atlantic,-13.39,-2.74,-1.64,5.65,4.85,"Year: 2063
Mean change: -2.7%
SD: ±4.8%"
2063,ssp126,Indian,-9.25,-3.83,-3.71,2.28,3.81,"Year: 2063
Mean change: -3.8%
SD: ±3.8%"
2063,ssp126,Pacific,-18.66,-4.88,-4.64,3.8,6.23,"Year: 2063
Mean change: -4.9%
SD: ±6.2%"
2063,ssp585,Atlantic,-8.42,-0.43,-0.25,10.87,5.22,"Year: 2063
Mean change: -0.4%
SD: ±5.2%"
2063,ssp585,Indian,-7.87,-3.08,-5.03,6.84,4.7,"Year: 2063
Mean change: -3.1%
SD: ±4.7%"
2063,ssp585,Pacific,-17.16,-4.26,-4.42,7.42,6.41,"Year: 2063
Mean change: -4.3%
SD: ±6.4%"
2064,ssp126,Atlantic,-13.2,-2.03,-1.5,7.85,5.32,"Year: 2064
Mean change: -2%
SD: ±5.3%"
2064,ssp126,Indian,-9.54,-2.64,-2.24,4.72,4.52,"Year: 2064
Mean change: -2.6%
SD: ±4.5%"
2064,ssp126,Pacific,-19.23,-7.57,-6.78,2.08,5.54,"Year: 2064
Mean change: -7.6%
SD: ±5.5%"
2064,ssp585,Atlantic,-9.2,-1.68,-2.78,11.97,5.81,"Year: 2064
Mean change: -1.7%
SD: ±5.8%"
2064,ssp585,Indian,-9.15,-4.09,-5.09,5.8,4.33,"Year: 2064
Mean change: -4.1%
SD: ±4.3%"
2064,ssp585,Pacific,-17.51,-5.27,-4.06,2.78,5.84,"Year: 2064
Mean change: -5.3%
SD: ±5.8%"
2065,ssp126,Atlantic,-12.89,-0.67,-1.08,5.73,5.26,"Year: 2065
Mean change: -0.7%
SD: ±5.3%"
2065,ssp126,Indian,-9.8,-2.31,-2,5.39,3.92,"Year: 2065
Mean change: -2.3%
SD: ±3.9%"
2065,ssp126,Pacific,-20.03,-6.44,-4.58,3.41,6.39,"Year: 2065
Mean change: -6.4%
SD: ±6.4%"
2065,ssp585,Atlantic,-10.09,-0.29,-0.47,8.8,5.83,"Year: 2065
Mean change: -0.3%
SD: ±5.8%"
2065,ssp585,Indian,-13.39,-3.91,-4.91,7.08,6.28,"Year: 2065
Mean change: -3.9%
SD: ±6.3%"
2065,ssp585,Pacific,-18.07,-4.92,-5.73,7.7,7.42,"Year: 2065
Mean change: -4.9%
SD: ±7.4%"
2066,ssp126,Atlantic,-12.22,-1.44,-1.15,4.38,4.53,"Year: 2066
Mean change: -1.4%
SD: ±4.5%"
2066,ssp126,Indian,-9.69,-2.19,-3.47,6.09,4.79,"Year: 2066
Mean change: -2.2%
SD: ±4.8%"
2066,ssp126,Pacific,-20.86,-6.01,-5.12,6.16,7.13,"Year: 2066
Mean change: -6%
SD: ±7.1%"
2066,ssp585,Atlantic,-10.63,2.48,4.27,11.41,6.81,"Year: 2066
Mean change: 2.5%
SD: ±6.8%"
2066,ssp585,Indian,-12.58,-3.23,-4.05,8.51,6.95,"Year: 2066
Mean change: -3.2%
SD: ±7%"
2066,ssp585,Pacific,-18.71,-4.25,-3.08,6.21,7.32,"Year: 2066
Mean change: -4.2%
SD: ±7.3%"
2067,ssp126,Atlantic,-11.85,-3.23,-3.35,4.73,4.73,"Year: 2067
Mean change: -3.2%
SD: ±4.7%"
2067,ssp126,Indian,-10.22,-3.63,-3.67,5.83,5.34,"Year: 2067
Mean change: -3.6%
SD: ±5.3%"
2067,ssp126,Pacific,-21.57,-6.57,-7.59,7.08,8.4,"Year: 2067
Mean change: -6.6%
SD: ±8.4%"
2067,ssp585,Atlantic,-10.43,-0.04,0.15,8.09,5.36,"Year: 2067
Mean change: 0%
SD: ±5.4%"
2067,ssp585,Indian,-11.88,-4.4,-5.05,5.79,5.72,"Year: 2067
Mean change: -4.4%
SD: ±5.7%"
2067,ssp585,Pacific,-19.44,-6.13,-6.05,7.4,7.16,"Year: 2067
Mean change: -6.1%
SD: ±7.2%"
2068,ssp126,Atlantic,-12.06,-1.81,-1.87,4.98,4.4,"Year: 2068
Mean change: -1.8%
SD: ±4.4%"
2068,ssp126,Indian,-9.83,-4.04,-3.46,3.01,3.61,"Year: 2068
Mean change: -4%
SD: ±3.6%"
2068,ssp126,Pacific,-22.03,-5.37,-3.11,1.89,7.44,"Year: 2068
Mean change: -5.4%
SD: ±7.4%"
2068,ssp585,Atlantic,-10.22,-1.16,-1.33,10.4,6.71,"Year: 2068
Mean change: -1.2%
SD: ±6.7%"
2068,ssp585,Indian,-11.22,-3.62,-4.25,6.68,5.85,"Year: 2068
Mean change: -3.6%
SD: ±5.8%"
2068,ssp585,Pacific,-20.29,-7.13,-7.04,3.64,6.73,"Year: 2068
Mean change: -7.1%
SD: ±6.7%"
2069,ssp126,Atlantic,-11.96,-1.63,-2.16,4.45,4.66,"Year: 2069
Mean change: -1.6%
SD: ±4.7%"
2069,ssp126,Indian,-9.21,-3.42,-3.71,1.72,3.37,"Year: 2069
Mean change: -3.4%
SD: ±3.4%"
2069,ssp126,Pacific,-22.26,-6.13,-4.31,4.26,6.89,"Year: 2069
Mean change: -6.1%
SD: ±6.9%"
2069,ssp585,Atlantic,-10.38,0.75,0.17,10.7,6.4,"Year: 2069
Mean change: 0.8%
SD: ±6.4%"
2069,ssp585,Indian,-10.47,-3.51,-5.11,5.22,5.58,"Year: 2069
Mean change: -3.5%
SD: ±5.6%"
2069,ssp585,Pacific,-21.14,-7.01,-6.03,3.29,6.52,"Year: 2069
Mean change: -7%
SD: ±6.5%"
2070,ssp126,Atlantic,-11.63,-1.15,-1.68,7.05,6.18,"Year: 2070
Mean change: -1.1%
SD: ±6.2%"
2070,ssp126,Indian,-7.85,-2.25,-3.34,3.08,3.42,"Year: 2070
Mean change: -2.2%
SD: ±3.4%"
2070,ssp126,Pacific,-22.29,-3.94,-4.72,6.07,7.93,"Year: 2070
Mean change: -3.9%
SD: ±7.9%"
2070,ssp585,Atlantic,-10.56,-1.06,-1.18,10.87,5.5,"Year: 2070
Mean change: -1.1%
SD: ±5.5%"
2070,ssp585,Indian,-10.61,-4.31,-5.92,5.22,5.15,"Year: 2070
Mean change: -4.3%
SD: ±5.2%"
2070,ssp585,Pacific,-21.83,-7.05,-6.94,2.14,6.66,"Year: 2070
Mean change: -7%
SD: ±6.7%"
2071,ssp126,Atlantic,-11.3,0.14,-0.08,6.23,5.13,"Year: 2071
Mean change: 0.1%
SD: ±5.1%"
2071,ssp126,Indian,-6.52,-1.4,-2.88,6.95,4.55,"Year: 2071
Mean change: -1.4%
SD: ±4.6%"
2071,ssp126,Pacific,-22.28,-5.99,-4.04,2.34,6.55,"Year: 2071
Mean change: -6%
SD: ±6.6%"
2071,ssp585,Atlantic,-10.62,-0.14,-0.47,12.7,6.13,"Year: 2071
Mean change: -0.1%
SD: ±6.1%"
2071,ssp585,Indian,-10.45,-4.69,-6.57,5.96,5.05,"Year: 2071
Mean change: -4.7%
SD: ±5%"
2071,ssp585,Pacific,-22.46,-5.66,-5.33,3.93,7.71,"Year: 2071
Mean change: -5.7%
SD: ±7.7%"
2072,ssp126,Atlantic,-10.79,-1.64,-1.52,2.89,3.75,"Year: 2072
Mean change: -1.6%
SD: ±3.8%"
2072,ssp126,Indian,-7.12,-2.87,-4.15,6.66,4,"Year: 2072
Mean change: -2.9%
SD: ±4%"
2072,ssp126,Pacific,-22.39,-7,-6.57,0.44,6.68,"Year: 2072
Mean change: -7%
SD: ±6.7%"
2072,ssp585,Atlantic,-10.25,0.58,0.46,12.44,6.17,"Year: 2072
Mean change: 0.6%
SD: ±6.2%"
2072,ssp585,Indian,-10.1,-3.82,-6.33,9.22,5.97,"Year: 2072
Mean change: -3.8%
SD: ±6%"
2072,ssp585,Pacific,-22.98,-5.8,-6.51,4.08,7.86,"Year: 2072
Mean change: -5.8%
SD: ±7.9%"
2073,ssp126,Atlantic,-10.41,-2.73,-2.42,3.45,3.44,"Year: 2073
Mean change: -2.7%
SD: ±3.4%"
2073,ssp126,Indian,-7.95,-2.81,-4.33,7.19,4.44,"Year: 2073
Mean change: -2.8%
SD: ±4.4%"
2073,ssp126,Pacific,-22.58,-6.19,-6.57,2.34,6.97,"Year: 2073
Mean change: -6.2%
SD: ±7%"
2073,ssp585,Atlantic,-9.95,1.16,0.3,12.94,6.5,"Year: 2073
Mean change: 1.2%
SD: ±6.5%"
2073,ssp585,Indian,-9.72,-2.96,-5.42,8.7,6.48,"Year: 2073
Mean change: -3%
SD: ±6.5%"
2073,ssp585,Pacific,-23.48,-5.81,-5.97,6.94,8.48,"Year: 2073
Mean change: -5.8%
SD: ±8.5%"
2074,ssp126,Atlantic,-10.09,0.81,1.13,9.84,5.35,"Year: 2074
Mean change: 0.8%
SD: ±5.3%"
2074,ssp126,Indian,-7.69,-2.14,-3.82,7.2,4.47,"Year: 2074
Mean change: -2.1%
SD: ±4.5%"
2074,ssp126,Pacific,-22.86,-6.98,-6.18,2,6.47,"Year: 2074
Mean change: -7%
SD: ±6.5%"
2074,ssp585,Atlantic,-10.01,2.15,1.71,13.53,7.2,"Year: 2074
Mean change: 2.1%
SD: ±7.2%"
2074,ssp585,Indian,-9.44,-2.97,-4.93,7.9,6.08,"Year: 2074
Mean change: -3%
SD: ±6.1%"
2074,ssp585,Pacific,-23.94,-2.87,-2.48,14.12,10.28,"Year: 2074
Mean change: -2.9%
SD: ±10.3%"
2075,ssp126,Atlantic,-9.81,-2.15,-1.71,3.04,3.31,"Year: 2075
Mean change: -2.1%
SD: ±3.3%"
2075,ssp126,Indian,-5.3,-2.38,-3.94,7.7,3.95,"Year: 2075
Mean change: -2.4%
SD: ±4%"
2075,ssp126,Pacific,-23.14,-5.85,-5.46,1.95,7.34,"Year: 2075
Mean change: -5.8%
SD: ±7.3%"
2075,ssp585,Atlantic,-10.57,-0.83,-0.79,13.16,6.05,"Year: 2075
Mean change: -0.8%
SD: ±6%"
2075,ssp585,Indian,-11.05,-4.5,-6.44,7.25,6.24,"Year: 2075
Mean change: -4.5%
SD: ±6.2%"
2075,ssp585,Pacific,-24.28,-4.34,-4.24,5.37,8.82,"Year: 2075
Mean change: -4.3%
SD: ±8.8%"
2076,ssp126,Atlantic,-9.42,-1.41,-1.16,2.64,3.42,"Year: 2076
Mean change: -1.4%
SD: ±3.4%"
2076,ssp126,Indian,-5.4,-1.75,-3.58,7.93,3.97,"Year: 2076
Mean change: -1.8%
SD: ±4%"
2076,ssp126,Pacific,-23.19,-6.48,-5.58,1.36,6.72,"Year: 2076
Mean change: -6.5%
SD: ±6.7%"
2076,ssp585,Atlantic,-11.37,-0.03,-0.93,12.27,7.76,"Year: 2076
Mean change: 0%
SD: ±7.8%"
2076,ssp585,Indian,-13.49,-3.72,-4.84,10.16,7.2,"Year: 2076
Mean change: -3.7%
SD: ±7.2%"
2076,ssp585,Pacific,-24.39,-6.3,-7.51,7.04,8.31,"Year: 2076
Mean change: -6.3%
SD: ±8.3%"
2077,ssp126,Atlantic,-9.3,-2.12,-2.57,3.12,3.57,"Year: 2077
Mean change: -2.1%
SD: ±3.6%"
2077,ssp126,Indian,-8.24,-3.65,-4.6,8.18,4.48,"Year: 2077
Mean change: -3.6%
SD: ±4.5%"
2077,ssp126,Pacific,-23.1,-4.45,-4.17,5.27,7.85,"Year: 2077
Mean change: -4.4%
SD: ±7.8%"
2077,ssp585,Atlantic,-12.33,-1.37,-1.71,12.47,7.63,"Year: 2077
Mean change: -1.4%
SD: ±7.6%"
2077,ssp585,Indian,-10.99,-3.7,-5.34,7.07,5.85,"Year: 2077
Mean change: -3.7%
SD: ±5.8%"
2077,ssp585,Pacific,-24.56,-6.37,-5.1,2.13,7.77,"Year: 2077
Mean change: -6.4%
SD: ±7.8%"
2078,ssp126,Atlantic,-9.6,-3.93,-3.42,2.76,4.17,"Year: 2078
Mean change: -3.9%
SD: ±4.2%"
2078,ssp126,Indian,-6.31,-3.15,-4.26,7.84,4.11,"Year: 2078
Mean change: -3.1%
SD: ±4.1%"
2078,ssp126,Pacific,-22.86,-6.63,-6.39,3.31,6.65,"Year: 2078
Mean change: -6.6%
SD: ±6.7%"
2078,ssp585,Atlantic,-13.22,-0.96,-0.98,12.79,6.87,"Year: 2078
Mean change: -1%
SD: ±6.9%"
2078,ssp585,Indian,-12.52,-5.1,-6.4,4.83,5.59,"Year: 2078
Mean change: -5.1%
SD: ±5.6%"
2078,ssp585,Pacific,-24.83,-5.75,-5.85,6.81,8.51,"Year: 2078
Mean change: -5.8%
SD: ±8.5%"
2079,ssp126,Atlantic,-9.63,-3.08,-2.75,1.36,3.02,"Year: 2079
Mean change: -3.1%
SD: ±3%"
2079,ssp126,Indian,-8.36,-3.34,-4.02,7.35,4.25,"Year: 2079
Mean change: -3.3%
SD: ±4.2%"
2079,ssp126,Pacific,-22.35,-5.25,-4.34,2.39,7.09,"Year: 2079
Mean change: -5.2%
SD: ±7.1%"
2079,ssp585,Atlantic,-13.91,-0.65,0.02,13.18,6.99,"Year: 2079
Mean change: -0.7%
SD: ±7%"
2079,ssp585,Indian,-10.98,-4.91,-6.57,4.31,5.68,"Year: 2079
Mean change: -4.9%
SD: ±5.7%"
2079,ssp585,Pacific,-24.96,-5.88,-5.83,5.7,8.69,"Year: 2079
Mean change: -5.9%
SD: ±8.7%"
2080,ssp126,Atlantic,-9.63,-1.96,-2.37,5.23,4.05,"Year: 2080
Mean change: -2%
SD: ±4%"
2080,ssp126,Indian,-6.56,-2.5,-2.56,4.96,3.06,"Year: 2080
Mean change: -2.5%
SD: ±3.1%"
2080,ssp126,Pacific,-21.85,-6.16,-4.5,-1.05,5.98,"Year: 2080
Mean change: -6.2%
SD: ±6%"
2080,ssp585,Atlantic,-14.36,-1.57,-2.07,13.08,7.58,"Year: 2080
Mean change: -1.6%
SD: ±7.6%"
2080,ssp585,Indian,-11.39,-4.39,-6.96,7.24,6.16,"Year: 2080
Mean change: -4.4%
SD: ±6.2%"
2080,ssp585,Pacific,-24.91,-6.05,-5.22,1.88,8.5,"Year: 2080
Mean change: -6%
SD: ±8.5%"
2081,ssp126,Atlantic,-10.41,-2.47,-2.81,5.91,4.8,"Year: 2081
Mean change: -2.5%
SD: ±4.8%"
2081,ssp126,Indian,-8.64,-3.53,-4.14,4.21,3.81,"Year: 2081
Mean change: -3.5%
SD: ±3.8%"
2081,ssp126,Pacific,-21.61,-6.54,-6.07,3.29,6.82,"Year: 2081
Mean change: -6.5%
SD: ±6.8%"
2081,ssp585,Atlantic,-14.44,0.27,0.15,12.71,7.96,"Year: 2081
Mean change: 0.3%
SD: ±8%"
2081,ssp585,Indian,-11.63,-3.65,-5.88,10.41,6.87,"Year: 2081
Mean change: -3.6%
SD: ±6.9%"
2081,ssp585,Pacific,-24.99,-6.04,-6.28,9.43,9.27,"Year: 2081
Mean change: -6%
SD: ±9.3%"
2082,ssp126,Atlantic,-12.24,-3.71,-2.96,7.76,6.44,"Year: 2082
Mean change: -3.7%
SD: ±6.4%"
2082,ssp126,Indian,-12.92,-5.23,-4.55,5.22,5.15,"Year: 2082
Mean change: -5.2%
SD: ±5.2%"
2082,ssp126,Pacific,-21.55,-7.08,-7.53,2.98,6.39,"Year: 2082
Mean change: -7.1%
SD: ±6.4%"
2082,ssp585,Atlantic,-14.51,-1.17,-1.21,10.19,7.48,"Year: 2082
Mean change: -1.2%
SD: ±7.5%"
2082,ssp585,Indian,-11.62,-4.19,-7.26,9.54,7.08,"Year: 2082
Mean change: -4.2%
SD: ±7.1%"
2082,ssp585,Pacific,-25.21,-6.44,-6.41,9.52,9.09,"Year: 2082
Mean change: -6.4%
SD: ±9.1%"
2083,ssp126,Atlantic,-13.3,-2.41,-2.56,8.55,5.66,"Year: 2083
Mean change: -2.4%
SD: ±5.7%"
2083,ssp126,Indian,-13.61,-6.5,-5.9,1.86,4.73,"Year: 2083
Mean change: -6.5%
SD: ±4.7%"
2083,ssp126,Pacific,-21.81,-8.4,-7.85,0.81,6.26,"Year: 2083
Mean change: -8.4%
SD: ±6.3%"
2083,ssp585,Atlantic,-14.87,-2.66,-1.9,8.07,6.67,"Year: 2083
Mean change: -2.7%
SD: ±6.7%"
2083,ssp585,Indian,-11.01,-4.06,-6.33,6.98,6.27,"Year: 2083
Mean change: -4.1%
SD: ±6.3%"
2083,ssp585,Pacific,-25.48,-6.18,-6.99,5.45,8.52,"Year: 2083
Mean change: -6.2%
SD: ±8.5%"
2084,ssp126,Atlantic,-14.6,0.17,-2.23,11.79,7.66,"Year: 2084
Mean change: 0.2%
SD: ±7.7%"
2084,ssp126,Indian,-11.21,-4.23,-4.59,3.11,4.26,"Year: 2084
Mean change: -4.2%
SD: ±4.3%"
2084,ssp126,Pacific,-22.4,-8.28,-6.84,-1.32,6.05,"Year: 2084
Mean change: -8.3%
SD: ±6%"
2084,ssp585,Atlantic,-15.73,-1.49,-0.14,8.33,8.13,"Year: 2084
Mean change: -1.5%
SD: ±8.1%"
2084,ssp585,Indian,-13.54,-5.04,-7.49,6.68,6.82,"Year: 2084
Mean change: -5%
SD: ±6.8%"
2084,ssp585,Pacific,-25.87,-6.91,-6.79,8.04,8.94,"Year: 2084
Mean change: -6.9%
SD: ±8.9%"
2085,ssp126,Atlantic,-15.41,-2.24,-1.69,8.56,5.93,"Year: 2085
Mean change: -2.2%
SD: ±5.9%"
2085,ssp126,Indian,-9.34,-2.6,-2.05,2.63,3.68,"Year: 2085
Mean change: -2.6%
SD: ±3.7%"
2085,ssp126,Pacific,-23.09,-9.08,-7.4,-3.06,6.32,"Year: 2085
Mean change: -9.1%
SD: ±6.3%"
2085,ssp585,Atlantic,-17.05,-2.41,-1.9,8.71,7.3,"Year: 2085
Mean change: -2.4%
SD: ±7.3%"
2085,ssp585,Indian,-17.39,-6.23,-7.47,5.48,7.09,"Year: 2085
Mean change: -6.2%
SD: ±7.1%"
2085,ssp585,Pacific,-26.36,-7,-5.53,4.86,8.69,"Year: 2085
Mean change: -7%
SD: ±8.7%"
2086,ssp126,Atlantic,-15.91,-2.96,-2.2,6.42,5.65,"Year: 2086
Mean change: -3%
SD: ±5.7%"
2086,ssp126,Indian,-10.15,-3.94,-4.62,4.93,3.94,"Year: 2086
Mean change: -3.9%
SD: ±3.9%"
2086,ssp126,Pacific,-23.5,-6,-5.45,5.03,8.98,"Year: 2086
Mean change: -6%
SD: ±9%"
2086,ssp585,Atlantic,-18.2,-2.02,-1.56,9.86,7.41,"Year: 2086
Mean change: -2%
SD: ±7.4%"
2086,ssp585,Indian,-13.27,-5.9,-8.57,6.85,6.8,"Year: 2086
Mean change: -5.9%
SD: ±6.8%"
2086,ssp585,Pacific,-26.79,-5.66,-5.06,8.37,9.94,"Year: 2086
Mean change: -5.7%
SD: ±9.9%"
2087,ssp126,Atlantic,-16.32,-1.9,-1.7,5.38,5.91,"Year: 2087
Mean change: -1.9%
SD: ±5.9%"
2087,ssp126,Indian,-10.45,-3.43,-3.68,5.12,4.21,"Year: 2087
Mean change: -3.4%
SD: ±4.2%"
2087,ssp126,Pacific,-23.66,-7.25,-5.2,0.38,7.07,"Year: 2087
Mean change: -7.2%
SD: ±7.1%"
2087,ssp585,Atlantic,-18.73,-1.86,-2.37,10.94,8.01,"Year: 2087
Mean change: -1.9%
SD: ±8%"
2087,ssp585,Indian,-13.62,-6.23,-7.47,5.84,6.09,"Year: 2087
Mean change: -6.2%
SD: ±6.1%"
2087,ssp585,Pacific,-27.12,-6.23,-7.3,11.69,10.27,"Year: 2087
Mean change: -6.2%
SD: ±10.3%"
2088,ssp126,Atlantic,-16.93,-3.8,-2.56,5.63,5.88,"Year: 2088
Mean change: -3.8%
SD: ±5.9%"
2088,ssp126,Indian,-10.43,-3.68,-4.45,4.58,4.15,"Year: 2088
Mean change: -3.7%
SD: ±4.2%"
2088,ssp126,Pacific,-23.96,-7.43,-7.07,1.33,6.97,"Year: 2088
Mean change: -7.4%
SD: ±7%"
2088,ssp585,Atlantic,-18.85,-1.8,-1.31,12.23,9,"Year: 2088
Mean change: -1.8%
SD: ±9%"
