year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2036,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-7.65,-4.05,-4.2,-1.48,2.31
2036,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-14.92,-4.57,-4.64,3.44,4.82
2037,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-7.26,-4.37,-5.36,-0.91,2.41
2037,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-8.57,-3.32,-3.37,4.04,3.67
2038,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.58,-4.77,-3.78,3.6,5.74
2038,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-10.91,-4.82,-5.15,-0.67,3.41
2039,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.22,-6.18,-6.03,-0.05,4.64
2039,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-13.96,-5.2,-5.59,2.33,4.65
2040,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.29,-4.81,-3.89,3.99,5.13
2040,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-10.86,-5.22,-6.13,2.21,4.6
2041,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.17,-6.25,-5.42,5.13,6.41
2041,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-11.66,-4.8,-5.01,0.39,3.68
2042,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.48,-5.37,-6.26,2.88,5.6
2042,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-18.15,-5.44,-4.83,2.56,6.16
2043,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.42,-4.33,-3.39,1.71,3.76
2043,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-14.26,-5.61,-5.04,0.97,4.67
2044,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.55,-3.06,-2.75,3.96,4.76
2044,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-18.46,-6.37,-6.03,0.43,5.32
2045,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.45,-5.03,-3.9,0.87,4.93
2045,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-16.77,-6.53,-6.56,0.76,5.18
2046,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.6,-4.98,-6.64,4.35,5.38
2046,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-16.4,-5.8,-5.59,5.88,6.1
2047,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-8.91,-3.31,-3.31,4.14,4.38
