year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
2014,historical,Southern Ocean,-2.16,-0.29,-0.06,1.54,1.28,"Year: 2014
Mean change: -0.3%
SD: ±1.3%"
2015,ssp126,Southern Ocean,-2.9,-0.93,-1.28,1.68,1.53,"Year: 2015
Mean change: -0.9%
SD: ±1.5%"
2015,ssp585,Southern Ocean,-4.8,-1.12,-0.88,1.54,2.07,"Year: 2015
Mean change: -1.1%
SD: ±2.1%"
2016,ssp126,Southern Ocean,-1.16,-0.28,-0.61,1.53,1,"Year: 2016
Mean change: -0.3%
SD: ±1%"
2016,ssp585,Southern Ocean,-5.83,-2.31,-2.06,1.47,2.48,"Year: 2016
Mean change: -2.3%
SD: ±2.5%"
2017,ssp126,Southern Ocean,-6.62,-3.18,-3.5,1.18,2.87,"Year: 2017
Mean change: -3.2%
SD: ±2.9%"
2017,ssp585,Southern Ocean,-3.18,-0.67,-0.8,1.4,1.6,"Year: 2017
Mean change: -0.7%
SD: ±1.6%"
2018,ssp126,Southern Ocean,-6.53,-3.29,-2.56,0.77,2.54,"Year: 2018
Mean change: -3.3%
SD: ±2.5%"
2018,ssp585,Southern Ocean,-2.48,-0.21,-0.3,2.39,1.73,"Year: 2018
Mean change: -0.2%
SD: ±1.7%"
2019,ssp126,Southern Ocean,-5.3,-2.34,-2.27,0.05,1.57,"Year: 2019
Mean change: -2.3%
SD: ±1.6%"
2019,ssp585,Southern Ocean,-2.34,-0.15,-0.57,3.46,1.81,"Year: 2019
Mean change: -0.1%
SD: ±1.8%"
2020,ssp126,Southern Ocean,-3.87,-1.45,-1.04,-0.41,1.1,"Year: 2020
Mean change: -1.4%
SD: ±1.1%"
2020,ssp585,Southern Ocean,-6.37,-1.94,-2,3.04,2.77,"Year: 2020
Mean change: -1.9%
SD: ±2.8%"
2021,ssp126,Southern Ocean,-5.69,-1.47,-0.93,1.39,2.09,"Year: 2021
Mean change: -1.5%
SD: ±2.1%"
2021,ssp585,Southern Ocean,-6.1,-0.58,-0.68,5.2,3.91,"Year: 2021
Mean change: -0.6%
SD: ±3.9%"
2022,ssp126,Southern Ocean,-6.7,-2.14,-1.63,-0.02,2.16,"Year: 2022
Mean change: -2.1%
SD: ±2.2%"
2022,ssp585,Southern Ocean,-1.88,-0.15,-0.77,3.58,1.78,"Year: 2022
Mean change: -0.1%
SD: ±1.8%"
2023,ssp126,Southern Ocean,-6.74,-2.77,-2.16,1.4,2.62,"Year: 2023
Mean change: -2.8%
SD: ±2.6%"
2023,ssp585,Southern Ocean,-3.56,-0.79,-0.88,2.62,1.8,"Year: 2023
Mean change: -0.8%
SD: ±1.8%"
2024,ssp126,Southern Ocean,-5.18,-2.37,-2.06,0.78,2.05,"Year: 2024
Mean change: -2.4%
SD: ±2%"
2024,ssp585,Southern Ocean,-1.7,-0.2,-0.3,1.62,1.13,"Year: 2024
Mean change: -0.2%
SD: ±1.1%"
2025,ssp126,Southern Ocean,-7.56,-3.31,-3.28,1.04,2.52,"Year: 2025
Mean change: -3.3%
SD: ±2.5%"
2025,ssp585,Southern Ocean,-1.6,0.86,1.02,4.3,1.8,"Year: 2025
Mean change: 0.9%
SD: ±1.8%"
2026,ssp126,Southern Ocean,-5.78,-2.37,-2.01,0.79,2.21,"Year: 2026
Mean change: -2.4%
SD: ±2.2%"
2026,ssp585,Southern Ocean,-3.61,-1.44,-1.94,1.81,1.96,"Year: 2026
Mean change: -1.4%
SD: ±2%"
2027,ssp126,Southern Ocean,-4.57,-2.12,-1.62,-0.84,1.21,"Year: 2027
Mean change: -2.1%
SD: ±1.2%"
2027,ssp585,Southern Ocean,-3.88,-1.45,-1.96,2.29,2.13,"Year: 2027
Mean change: -1.4%
SD: ±2.1%"
2028,ssp126,Southern Ocean,-4.13,-1.15,-1.95,4.32,2.73,"Year: 2028
Mean change: -1.1%
SD: ±2.7%"
2028,ssp585,Southern Ocean,-1.82,0.53,-0.04,3.25,1.74,"Year: 2028
Mean change: 0.5%
SD: ±1.7%"
2029,ssp126,Southern Ocean,-3.06,-0.94,-1.25,1.1,1.54,"Year: 2029
Mean change: -0.9%
SD: ±1.5%"
