year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1961,historical,GPZi,-21.62,-8.09,-8.55,12.12,11.81,"Year: 1961
Mean change: -8.1%
SD: ±11.8%"
1961,historical,GPZii,-15.95,-1.79,-1.1,6.43,6.02,"Year: 1961
Mean change: -1.8%
SD: ±6%"
1961,historical,GPZiii,-36.43,-9.89,-9.78,10.99,12.21,"Year: 1961
Mean change: -9.9%
SD: ±12.2%"
1961,historical,KRZ,-29.32,-4.52,-0.4,7.58,11.57,"Year: 1961
Mean change: -4.5%
SD: ±11.6%"
1961,historical,SOSS,-44.61,-13.17,-6.29,3.11,16.52,"Year: 1961
Mean change: -13.2%
SD: ±16.5%"
1961,historical,SRZ,-71.18,-17.32,-3.63,17.15,30.57,"Year: 1961
Mean change: -17.3%
SD: ±30.6%"
1962,historical,GPZi,-20.99,-5.37,-5.47,10.93,11.05,"Year: 1962
Mean change: -5.4%
SD: ±11.1%"
1962,historical,GPZii,-15.14,-1.97,-1.02,5.32,6.14,"Year: 1962
Mean change: -2%
SD: ±6.1%"
1962,historical,GPZiii,-37.29,-7.26,-4.12,11.46,12.68,"Year: 1962
Mean change: -7.3%
SD: ±12.7%"
1962,historical,KRZ,-28.95,-0.94,2.01,15.47,12.71,"Year: 1962
Mean change: -0.9%
SD: ±12.7%"
1962,historical,SOSS,-44.65,-13.33,-8.33,1.87,16.81,"Year: 1962
Mean change: -13.3%
SD: ±16.8%"
1962,historical,SRZ,-46.89,-13.41,-6.35,14.28,21.54,"Year: 1962
Mean change: -13.4%
SD: ±21.5%"
1963,historical,GPZi,-19.36,-1.8,-3.37,14.97,10.31,"Year: 1963
Mean change: -1.8%
SD: ±10.3%"
1963,historical,GPZii,-13.9,-4.16,-2.49,3.13,5.8,"Year: 1963
Mean change: -4.2%
SD: ±5.8%"
1963,historical,GPZiii,-38.1,5.2,6.62,63.03,25.63,"Year: 1963
Mean change: 5.2%
SD: ±25.6%"
1963,historical,KRZ,-28.75,-1.86,-2.59,23.45,15.98,"Year: 1963
Mean change: -1.9%
SD: ±16%"
1963,historical,SOSS,-13.77,2.64,0.14,31.49,14.53,"Year: 1963
Mean change: 2.6%
SD: ±14.5%"
1963,historical,SRZ,-31.04,0.2,-1.17,39.02,17.58,"Year: 1963
Mean change: 0.2%
SD: ±17.6%"
1964,historical,GPZi,-18.73,0.37,2.06,10.3,9.08,"Year: 1964
Mean change: 0.4%
SD: ±9.1%"
1964,historical,GPZii,-19.25,-3.48,-2.03,8.76,8.64,"Year: 1964
Mean change: -3.5%
SD: ±8.6%"
1964,historical,GPZiii,-38.89,-5.56,-6.44,35.45,19.99,"Year: 1964
Mean change: -5.6%
SD: ±20%"
1964,historical,KRZ,-28.64,-1.96,-0.5,14.64,11.89,"Year: 1964
Mean change: -2%
SD: ±11.9%"
