year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2023,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.22,-5.31,-6.89,4.94,5.18
2023,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.11,-2.89,-2.04,2.32,3.85
2024,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.76,-3.5,-2.79,4.78,5.65
2024,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.69,-0.41,0.83,5.7,4.14
2025,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.7,-3.18,-2.65,7.87,6.07
2025,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.3,-1.58,-0.84,5.42,5.27
2026,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.6,-0.99,0.61,2.65,4.06
2026,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.86,-4.91,-4.92,3.19,3.97
2027,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.71,-3.98,-4.13,0.72,3.24
2027,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.23,-4.35,-4.01,1.78,4.09
2028,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.65,-4.77,-3.93,2.22,4.76
2028,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.6,-1.63,-1.5,7.84,6.33
2029,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.98,-4.34,-4.14,0.8,3.62
2029,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.17,-3.03,-3,2.58,3.84
2030,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.46,-4.38,-3.66,0.11,3.36
2030,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.15,-2.6,-1.59,2.34,3.56
2031,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.58,-4.17,-4.77,0.88,3.2
2031,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.67,-4.44,-4.36,5.61,5.8
2032,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.71,-4.11,-4.16,4.31,4.42
2032,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.77,-3.82,-3.85,6.46,5.95
2033,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.21,-4.74,-3.52,3.92,5.19
2033,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.51,-4.56,-4.16,2.36,3.91
2034,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.3,-4.78,-4.23,-1.53,2.76
2034,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.64,-3.84,-3.25,1.24,3.71
2035,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.65,-3.85,-4.16,6.68,4.6
2035,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.32,-2.95,-2.71,3.82,5.2
2036,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.82,-3.67,-4.26,2.22,3.29
2036,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.36,-3.62,-3.1,1.35,4.12
2037,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.7,-4.17,-4.12,0.12,2.95
2037,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10,-2.35,-2.76,3.78,4.26
2038,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.02,-2.73,-1.98,1.23,3.12
2038,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.5,-3.35,-3.9,3.27,3.58
2039,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.07,-4.2,-4.38,0.24,2.29
2039,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.89,-4,-2.62,1.03,4.35
2040,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.26,-3.11,-3.08,4.75,3.71
2040,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-16.17,-4.85,-3.29,6.4,6.93
2041,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.82,-5.18,-6.28,3.84,4.67
2041,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-19.08,-4.31,-4.29,7.48,7.56
2042,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.5,-4.38,-5.88,8.8,5.06
2042,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.89,-3.43,-3.03,8.54,5.51
2043,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.07,-2.92,-2.04,1.47,3.41
2043,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.65,-4.48,-4.19,2.79,4.34
2044,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.94,-3.44,-3.3,3.6,4.26
2044,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.17,-3.52,-2.97,1.23,3.45
2045,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.8,-5.64,-5.52,1.22,4.82
2045,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.23,-4.42,-5.16,2.05,2.81
2046,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.58,-3.77,-4,6.8,5.21
2046,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.49,-4.07,-4.14,0.23,2.44
2047,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.24,-3.09,-2.95,1.75,3.79
2047,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.51,-2.83,-5.04,9.34,5.73
2048,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.19,-2.5,-2.25,3.58,4.1
2048,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.82,-3.56,-2.8,0.39,3.51
2049,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.57,-3.26,-3.7,4.79,4.17
2049,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.65,-4.51,-4.38,2.45,4.68
2050,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.76,-2.86,-2.8,2.33,2.91
2050,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-16.93,-4.57,-4.31,6.07,6.5
2051,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.52,-5.7,-5.97,-2,2.49
2051,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.36,-3.37,-3.76,2.67,3.5
2052,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.6,-4.53,-4.41,5.74,4.29
2052,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.74,-3.95,-5.62,3.92,4.54
2053,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.44,-3.86,-3.1,3.11,4.04
2053,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.92,-4.86,-3.87,-1.43,3.17
2054,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.07,-4.11,-4.34,4.39,4.74
2054,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.92,-3.35,-2.39,3.38,4.43
2055,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.69,-3.16,-3.42,3.38,5.28
2055,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.2,-6.04,-7.17,1.29,3.31
2056,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.29,-4.65,-4.62,1.23,4.19
2056,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.79,-5.05,-5.54,5.71,4.7
2057,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.66,-6.06,-5.22,-0.23,3.64
2057,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.15,-6.03,-6.76,2.78,3.61
2058,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.16,-5,-5,1.23,4.02
2058,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.31,-5.48,-5.96,4.29,3.82
2059,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.6,-4.29,-3.74,2.12,5.05
2059,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.63,-5.27,-6.69,2.62,3.68
2060,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.6,-3.96,-2.68,4.06,5.04
2060,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.98,-4.4,-5.15,2.65,3.6
2061,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.69,-3.92,-1.68,0.98,4.61
2061,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.02,-6.89,-7.68,0.45,4.43
