year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2044,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.9,-0.5,-0.52,7.13,4.36
2044,ssp585,Africa,Prince Edward Island,Prince Edward Island,-12.91,-5.67,-5.62,0.43,4.6
2045,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.82,-5.35,-5.27,4.16,6.1
2045,ssp585,Africa,Prince Edward Island,Prince Edward Island,-8.53,-4.96,-5.4,1.06,2.88
2046,ssp126,Africa,Prince Edward Island,Prince Edward Island,-12.86,-4.44,-3.79,1.17,3.77
2046,ssp585,Africa,Prince Edward Island,Prince Edward Island,-20.06,-4.71,-4.39,9.14,8.13
2047,ssp126,Africa,Prince Edward Island,Prince Edward Island,-6.87,-0.56,0.05,4.1,3.67
2047,ssp585,Africa,Prince Edward Island,Prince Edward Island,-15.64,-3.98,-4.48,4,5.7
2048,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.4,-1.86,-1.6,4.12,3.97
2048,ssp585,Africa,Prince Edward Island,Prince Edward Island,-22.12,-6.1,-5.36,5.38,8.45
2049,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.37,-3.41,-4.21,7.27,4.57
2049,ssp585,Africa,Prince Edward Island,Prince Edward Island,-11.42,-3.15,-5.06,10.75,7.06
2050,ssp126,Africa,Prince Edward Island,Prince Edward Island,-6.45,-1.77,-2.66,5.41,4.27
2050,ssp585,Africa,Prince Edward Island,Prince Edward Island,-19.78,-5.82,-4.31,5.21,7.74
2051,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.32,-1.9,-2.85,7.38,5.27
2051,ssp585,Africa,Prince Edward Island,Prince Edward Island,-21.89,-7.16,-6.64,6.18,8.52
2052,ssp126,Africa,Prince Edward Island,Prince Edward Island,-14.86,-1.36,-1.25,6.42,6.46
2052,ssp585,Africa,Prince Edward Island,Prince Edward Island,-21,-6.83,-5.7,-0.19,6.14
2053,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.66,-0.25,-0.68,7.7,5.08
2053,ssp585,Africa,Prince Edward Island,Prince Edward Island,-19.09,-6.98,-6.67,1.47,6.81
2054,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.66,-3.82,-2.21,5.68,7.36
2054,ssp585,Africa,Prince Edward Island,Prince Edward Island,-25.11,-6.77,-7.1,5.46,8.2
2055,ssp126,Africa,Prince Edward Island,Prince Edward Island,-12.61,-2.36,-3.32,6.82,7.11
2055,ssp585,Africa,Prince Edward Island,Prince Edward Island,-21.83,-8.12,-6.98,-0.33,6.34
2056,ssp126,Africa,Prince Edward Island,Prince Edward Island,-5.66,-1.41,-1,5.35,3.74
2056,ssp585,Africa,Prince Edward Island,Prince Edward Island,-19.96,-7.1,-7.67,4.22,6.42
2057,ssp126,Africa,Prince Edward Island,Prince Edward Island,-6.15,-2.23,-2.63,4.44,3.55
2057,ssp585,Africa,Prince Edward Island,Prince Edward Island,-19.21,-8.36,-8.46,-1.01,5.83
2058,ssp126,Africa,Prince Edward Island,Prince Edward Island,-16.46,-4.3,-4.03,3.14,5.99
2058,ssp585,Africa,Prince Edward Island,Prince Edward Island,-18.37,-6.62,-6.8,3.76,7.23
2059,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.05,-3.32,-4.14,6.45,5.32
2059,ssp585,Africa,Prince Edward Island,Prince Edward Island,-23.62,-8.6,-8.52,1.56,8.31
2060,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.68,-5.48,-4.55,1.86,6.07
2060,ssp585,Africa,Prince Edward Island,Prince Edward Island,-26.3,-9.69,-9.03,1.75,7.66
2061,ssp126,Africa,Prince Edward Island,Prince Edward Island,-19.87,-6.43,-4.72,2.13,6.26
2061,ssp585,Africa,Prince Edward Island,Prince Edward Island,-15.37,-6.01,-6.99,9.18,6.72
2062,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.67,-3.37,-3.31,2.78,3.35
2062,ssp585,Africa,Prince Edward Island,Prince Edward Island,-25.49,-8.11,-8.36,5.19,9.56
2063,ssp126,Africa,Prince Edward Island,Prince Edward Island,-6.71,-1.96,-2.47,2.74,3.22
2063,ssp585,Africa,Prince Edward Island,Prince Edward Island,-28.75,-8.44,-8.35,5.45,9.96
2064,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.9,-4.5,-4.82,5.2,4.24
2064,ssp585,Africa,Prince Edward Island,Prince Edward Island,-23.35,-7.73,-7.9,3.79,8.16
2065,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.22,-6.83,-5.52,3.3,6.21
2065,ssp585,Africa,Prince Edward Island,Prince Edward Island,-23.77,-9.66,-8.19,1.12,8.78
2066,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.68,-4.41,-4.85,2.98,3.61
2066,ssp585,Africa,Prince Edward Island,Prince Edward Island,-21.79,-9.95,-9.32,3.37,7.41
2067,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.53,-6.97,-7.11,-0.12,5.78
2067,ssp585,Africa,Prince Edward Island,Prince Edward Island,-26.01,-8.35,-8.77,3.19,8.4
2068,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.71,-6.68,-6.36,1.18,5.44
2068,ssp585,Africa,Prince Edward Island,Prince Edward Island,-25.41,-8.72,-8.93,5.9,10.34
2069,ssp126,Africa,Prince Edward Island,Prince Edward Island,-16.75,-5.44,-6.21,-0.02,5.39
2069,ssp585,Africa,Prince Edward Island,Prince Edward Island,-31.91,-10.57,-10.54,6.05,11.94
2070,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.19,-5.1,-5.22,1.27,3.99
2070,ssp585,Africa,Prince Edward Island,Prince Edward Island,-29.83,-11.65,-9.35,-1.21,8.92
2071,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.2,-6.31,-6.39,2.11,5.71
2071,ssp585,Africa,Prince Edward Island,Prince Edward Island,-32.64,-12.08,-9.91,2.08,9.75
2072,ssp126,Africa,Prince Edward Island,Prince Edward Island,-19.96,-8.13,-7.63,3.23,6.84
2072,ssp585,Africa,Prince Edward Island,Prince Edward Island,-32.25,-10.64,-10.31,4.54,11.46
2073,ssp126,Africa,Prince Edward Island,Prince Edward Island,-21.3,-8.06,-7.99,5.44,8.72
2073,ssp585,Africa,Prince Edward Island,Prince Edward Island,-29.03,-11.21,-9.9,1.69,10.19
2074,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.56,-5.72,-6.91,3.72,6.58
2074,ssp585,Africa,Prince Edward Island,Prince Edward Island,-31.48,-11.82,-10.12,2.24,11.59
2075,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.79,-7.49,-7.65,2.98,6.81
