year,scenario,name,min_change,mean_change,median_change,max_change,sd_change
2077,ssp585,"Indian Ocean, Antarctic",-10.99,-3.7,-5.34,7.07,5.85
2078,ssp126,"Indian Ocean, Antarctic",-6.31,-3.15,-4.26,7.84,4.11
2078,ssp585,"Indian Ocean, Antarctic",-12.52,-5.1,-6.4,4.83,5.59
2079,ssp126,"Indian Ocean, Antarctic",-8.36,-3.34,-4.02,7.35,4.25
2079,ssp585,"Indian Ocean, Antarctic",-10.98,-4.91,-6.57,4.31,5.68
2080,ssp126,"Indian Ocean, Antarctic",-6.56,-2.5,-2.56,4.96,3.06
2080,ssp585,"Indian Ocean, Antarctic",-11.39,-4.39,-6.96,7.24,6.16
2081,ssp126,"Indian Ocean, Antarctic",-8.64,-3.53,-4.14,4.21,3.81
2081,ssp585,"Indian Ocean, Antarctic",-11.63,-3.65,-5.88,10.41,6.87
2082,ssp126,"Indian Ocean, Antarctic",-12.92,-5.23,-4.55,5.22,5.15
2082,ssp585,"Indian Ocean, Antarctic",-11.62,-4.19,-7.26,9.54,7.08
2083,ssp126,"Indian Ocean, Antarctic",-13.61,-6.5,-5.9,1.86,4.73
2083,ssp585,"Indian Ocean, Antarctic",-11.01,-4.06,-6.33,6.98,6.27
2084,ssp126,"Indian Ocean, Antarctic",-11.21,-4.23,-4.59,3.11,4.26
2084,ssp585,"Indian Ocean, Antarctic",-13.54,-5.04,-7.49,6.68,6.82
2085,ssp126,"Indian Ocean, Antarctic",-9.34,-2.6,-2.05,2.63,3.68
2085,ssp585,"Indian Ocean, Antarctic",-17.39,-6.23,-7.47,5.48,7.09
2086,ssp126,"Indian Ocean, Antarctic",-10.15,-3.94,-4.62,4.93,3.94
2086,ssp585,"Indian Ocean, Antarctic",-13.27,-5.9,-8.57,6.85,6.8
2087,ssp126,"Indian Ocean, Antarctic",-10.45,-3.43,-3.68,5.12,4.21
2087,ssp585,"Indian Ocean, Antarctic",-13.62,-6.23,-7.47,5.84,6.09
2088,ssp126,"Indian Ocean, Antarctic",-10.43,-3.68,-4.45,4.58,4.15
2088,ssp585,"Indian Ocean, Antarctic",-16.69,-7.27,-8.52,5.03,6.75
2089,ssp126,"Indian Ocean, Antarctic",-10.4,-4.38,-4.34,4.09,3.84
