year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip,fao,mpa,so,subregion
1978,historical,Prince Edward Islands,-9.93,0.62,0.8,18.19,7.63,"Year: 1978
Mean change: 0.6%
SD: ±7.6%",NA,NA,NA,NA
1979,historical,Crozet Islands,-13.73,-0.31,0.67,12.89,7.04,"Year: 1979
Mean change: -0.3%
SD: ±7%",NA,NA,NA,NA
1979,historical,Heard Island and McDonald Islands,-12.46,-0.7,0.24,7.1,5.85,"Year: 1979
Mean change: -0.7%
SD: ±5.8%",NA,NA,NA,NA
1979,historical,Kerguelen Islands,-4.27,0.43,-0.86,13.78,5.74,"Year: 1979
Mean change: 0.4%
SD: ±5.7%",NA,NA,NA,NA
1979,historical,Macquarie Island,-24.53,-7.85,-6.96,-0.54,7.11,"Year: 1979
Mean change: -7.8%
SD: ±7.1%",NA,NA,NA,NA
1979,historical,Prince Edward Islands,-8.61,-0.29,-0.57,7.95,5.32,"Year: 1979
Mean change: -0.3%
SD: ±5.3%",NA,NA,NA,NA
1980,historical,Crozet Islands,-12.83,-2.11,-1.27,5.94,5.32,"Year: 1980
Mean change: -2.1%
SD: ±5.3%",NA,NA,NA,NA
1980,historical,Heard Island and McDonald Islands,-5.99,-1.07,-0.12,2.19,2.89,"Year: 1980
Mean change: -1.1%
SD: ±2.9%",NA,NA,NA,NA
1980,historical,Kerguelen Islands,-3.91,-1.12,-1.36,2.39,1.96,"Year: 1980
Mean change: -1.1%
SD: ±2%",NA,NA,NA,NA
1980,historical,Macquarie Island,-24.03,-7.33,-6.71,2.66,7.05,"Year: 1980
Mean change: -7.3%
SD: ±7%",NA,NA,NA,NA
1980,historical,Prince Edward Islands,-9.51,-1.07,-1.38,9.98,5.2,"Year: 1980
Mean change: -1.1%
SD: ±5.2%",NA,NA,NA,NA
1981,historical,Crozet Islands,-12.44,-2.23,-1.19,7.4,5.32,"Year: 1981
Mean change: -2.2%
SD: ±5.3%",NA,NA,NA,NA
1981,historical,Heard Island and McDonald Islands,-8.01,-2.41,-2.68,1.78,3.36,"Year: 1981
Mean change: -2.4%
SD: ±3.4%",NA,NA,NA,NA
1981,historical,Kerguelen Islands,-10.41,-0.95,0.02,5.71,4.18,"Year: 1981
Mean change: -0.9%
SD: ±4.2%",NA,NA,NA,NA
1981,historical,Macquarie Island,-23.94,-8.73,-7.45,-0.73,7.64,"Year: 1981
Mean change: -8.7%
SD: ±7.6%",NA,NA,NA,NA
1981,historical,Prince Edward Islands,-10.53,-1.08,-1.1,11.72,5.88,"Year: 1981
Mean change: -1.1%
SD: ±5.9%",NA,NA,NA,NA
1982,historical,Crozet Islands,-11.32,-1.3,-2.33,10.74,5.74,"Year: 1982
Mean change: -1.3%
SD: ±5.7%",NA,NA,NA,NA
1982,historical,Heard Island and McDonald Islands,-7.33,-3.48,-5.2,3.37,3.67,"Year: 1982
Mean change: -3.5%
SD: ±3.7%",NA,NA,NA,NA
1982,historical,Kerguelen Islands,-9.25,-2.78,-1.57,0.18,3.2,"Year: 1982
Mean change: -2.8%
SD: ±3.2%",NA,NA,NA,NA
1982,historical,Macquarie Island,-24.08,-7.22,-5.54,5.96,8.21,"Year: 1982
Mean change: -7.2%
SD: ±8.2%",NA,NA,NA,NA
1982,historical,Prince Edward Islands,-10.78,-0.62,-0.96,13.43,6.34,"Year: 1982
Mean change: -0.6%
SD: ±6.3%",NA,NA,NA,NA
1983,historical,Crozet Islands,-9.3,-2.19,-0.75,2.15,3.95,"Year: 1983
Mean change: -2.2%
SD: ±4%",NA,NA,NA,NA
1983,historical,Heard Island and McDonald Islands,-13.12,-1.36,-0.17,3.11,4.62,"Year: 1983
Mean change: -1.4%
SD: ±4.6%",NA,NA,NA,NA
1983,historical,Kerguelen Islands,-3.76,-0.01,-0.09,5.29,2.79,"Year: 1983
Mean change: 0%
SD: ±2.8%",NA,NA,NA,NA
1983,historical,Macquarie Island,-23.23,-6.02,-5.27,4.62,7.53,"Year: 1983
Mean change: -6%
SD: ±7.5%",NA,NA,NA,NA
