year,scenario,subregion,min_change,mean_change,median_change,max_change,sd_change,tooltip
1956,historical,587,-15.24,-0.19,1.17,8.56,6.49,"Year: 1956
Mean change: -0.2%
SD: ±6.5%"
1956,historical,881,-13.22,-3.85,-2.78,2.21,4.51,"Year: 1956
Mean change: -3.9%
SD: ±4.5%"
1956,historical,882,-10.11,-2.39,-5.56,13.76,8.61,"Year: 1956
Mean change: -2.4%
SD: ±8.6%"
1956,historical,883,-5.43,3.83,1.51,27.34,10.19,"Year: 1956
Mean change: 3.8%
SD: ±10.2%"
1957,historical,481,-29.55,-7.18,-7.15,4.9,10.49,"Year: 1957
Mean change: -7.2%
SD: ±10.5%"
1957,historical,482,-25.25,-7.93,-6.38,1.48,8.31,"Year: 1957
Mean change: -7.9%
SD: ±8.3%"
1957,historical,483,-5.27,0.54,-0.4,14.31,5.62,"Year: 1957
Mean change: 0.5%
SD: ±5.6%"
1957,historical,484,-19.44,-5.69,-3.53,1.07,6.96,"Year: 1957
Mean change: -5.7%
SD: ±7%"
1957,historical,485,-25.65,-6.14,-6.43,15.72,11.6,"Year: 1957
Mean change: -6.1%
SD: ±11.6%"
1957,historical,486,-15.23,-4.58,-3.64,2.27,5.13,"Year: 1957
Mean change: -4.6%
SD: ±5.1%"
1957,historical,5841,-10.59,-1.92,-1.63,7.75,5.96,"Year: 1957
Mean change: -1.9%
SD: ±6%"
1957,historical,5842,-11.82,1.48,0.67,14.17,9.61,"Year: 1957
Mean change: 1.5%
SD: ±9.6%"
1957,historical,5843a,-15.94,-7.68,-5.66,-0.65,5.7,"Year: 1957
Mean change: -7.7%
SD: ±5.7%"
1957,historical,5843b,-18.51,-5.31,-4.55,7.67,7.53,"Year: 1957
Mean change: -5.3%
SD: ±7.5%"
1957,historical,5844a,-24.87,-6.42,-3.23,0.93,7.87,"Year: 1957
Mean change: -6.4%
SD: ±7.9%"
1957,historical,5844b,-30.68,-7.98,-5.01,-1.31,8.65,"Year: 1957
Mean change: -8%
SD: ±8.7%"
1957,historical,5851,-14.05,-2.49,-0.93,3.68,5.58,"Year: 1957
Mean change: -2.5%
SD: ±5.6%"
1957,historical,5852,-16.98,-4.7,-3.3,2.99,6.53,"Year: 1957
Mean change: -4.7%
SD: ±6.5%"
1957,historical,586,-26.41,-3.1,-0.8,5.6,9.06,"Year: 1957
Mean change: -3.1%
SD: ±9.1%"
1957,historical,587,-16.15,0.44,1.68,9.09,7.19,"Year: 1957
Mean change: 0.4%
SD: ±7.2%"
1957,historical,881,-13.58,-3.8,-3.73,2.48,5.04,"Year: 1957
Mean change: -3.8%
SD: ±5%"
1957,historical,882,-12.2,-2.02,-3.88,11.15,7.8,"Year: 1957
Mean change: -2%
SD: ±7.8%"
1957,historical,883,-17.14,-1.71,-4.26,27.59,13.16,"Year: 1957
Mean change: -1.7%
SD: ±13.2%"
1958,historical,481,-15.68,-4.99,-5.65,2.37,5.02,"Year: 1958
Mean change: -5%
SD: ±5%"
1958,historical,482,-15.01,-3.7,-6.36,18.71,9.59,"Year: 1958
Mean change: -3.7%
SD: ±9.6%"
1958,historical,483,-12.06,0.02,0.45,9.58,5.91,"Year: 1958
Mean change: 0%
SD: ±5.9%"
1958,historical,484,-16.61,-1.72,-0.88,15.35,9.21,"Year: 1958
Mean change: -1.7%
SD: ±9.2%"
1958,historical,485,-16.82,-1.19,-3.98,20.15,11.48,"Year: 1958
Mean change: -1.2%
SD: ±11.5%"
1958,historical,486,-15.59,-4.09,-3.76,3.68,4.82,"Year: 1958
Mean change: -4.1%
SD: ±4.8%"
1958,historical,5841,-14.26,-3.67,-1.33,6.56,6.99,"Year: 1958
Mean change: -3.7%
SD: ±7%"
1958,historical,5842,-11.6,-1.09,-3.48,13.59,8.79,"Year: 1958
Mean change: -1.1%
SD: ±8.8%"
1958,historical,5843a,-14.98,-5.47,-4.41,1.78,5.98,"Year: 1958
Mean change: -5.5%
SD: ±6%"
1958,historical,5843b,-18.72,-3.32,-1.76,5.44,7.29,"Year: 1958
Mean change: -3.3%
SD: ±7.3%"
1958,historical,5844a,-24.25,-8.28,-5.2,-1.91,6.79,"Year: 1958
Mean change: -8.3%
SD: ±6.8%"
1958,historical,5844b,-29.88,-8.79,-7.2,-1.49,8.5,"Year: 1958
Mean change: -8.8%
SD: ±8.5%"
1958,historical,5851,-13.51,-2.17,-1.51,4.44,4.97,"Year: 1958
Mean change: -2.2%
SD: ±5%"
1958,historical,5852,-13.78,-3.27,0.08,4.23,6.81,"Year: 1958
Mean change: -3.3%
SD: ±6.8%"
1958,historical,586,-25.82,-4.15,-2.32,4.85,8.45,"Year: 1958
Mean change: -4.2%
SD: ±8.4%"
1958,historical,587,-16.65,-0.08,0.37,11.91,7.54,"Year: 1958
Mean change: -0.1%
SD: ±7.5%"
1958,historical,881,-14.59,-5.2,-3.09,1.71,5.63,"Year: 1958
Mean change: -5.2%
SD: ±5.6%"
1958,historical,882,-6.56,-0.79,-3.42,7.33,4.55,"Year: 1958
Mean change: -0.8%
SD: ±4.6%"
1958,historical,883,-12.35,-2.61,-6.42,27.26,11.6,"Year: 1958
Mean change: -2.6%
SD: ±11.6%"
1959,historical,481,-15.05,-4.59,-2.77,1.68,6.13,"Year: 1959
Mean change: -4.6%
SD: ±6.1%"
1959,historical,482,-14.53,-4.86,-4.04,6.58,6.33,"Year: 1959
Mean change: -4.9%
SD: ±6.3%"
1959,historical,483,-12.24,-1.35,-0.69,5.71,4.67,"Year: 1959
Mean change: -1.4%
SD: ±4.7%"
1959,historical,484,-16.95,-4.78,-2.82,1.28,6.4,"Year: 1959
Mean change: -4.8%
SD: ±6.4%"
1959,historical,485,-38.07,-6.98,-3.66,16.02,17.57,"Year: 1959
Mean change: -7%
SD: ±17.6%"
1959,historical,486,-15.13,-4.39,-4.14,4.65,5.32,"Year: 1959
Mean change: -4.4%
SD: ±5.3%"
1959,historical,5841,-14.86,-5.03,-5.5,4.66,6.2,"Year: 1959
Mean change: -5%
SD: ±6.2%"
1959,historical,5842,-12.95,0.37,0.36,13.7,9.2,"Year: 1959
Mean change: 0.4%
SD: ±9.2%"
1959,historical,5843a,-17.83,-6.98,-6.06,1.13,6.22,"Year: 1959
Mean change: -7%
SD: ±6.2%"
1959,historical,5843b,-19.7,-3.51,-1.89,7.66,7.53,"Year: 1959
Mean change: -3.5%
SD: ±7.5%"
1959,historical,5844a,-24.21,-7.48,-6.96,0.67,6.78,"Year: 1959
Mean change: -7.5%
SD: ±6.8%"
1959,historical,5844b,-29.39,-7.74,-5.07,1.68,9.06,"Year: 1959
Mean change: -7.7%
SD: ±9.1%"
1959,historical,5851,-13.58,-4.08,-4.07,1.06,4.71,"Year: 1959
Mean change: -4.1%
SD: ±4.7%"
1959,historical,5852,-15.04,-4.56,-2.71,2.38,6.59,"Year: 1959
Mean change: -4.6%
SD: ±6.6%"
1959,historical,586,-25.11,-5.65,-3.52,0.64,7.2,"Year: 1959
Mean change: -5.7%
SD: ±7.2%"
1959,historical,587,-16.87,-1.55,0.18,8.22,6.75,"Year: 1959
Mean change: -1.6%
SD: ±6.8%"
1959,historical,881,-17.85,-3.32,-2.13,5.67,7.82,"Year: 1959
Mean change: -3.3%
SD: ±7.8%"
1959,historical,882,-2.71,0.06,-0.56,5.78,2.69,"Year: 1959
Mean change: 0.1%
SD: ±2.7%"
1959,historical,883,-16.31,-3.66,-5.29,26.36,12.04,"Year: 1959
Mean change: -3.7%
SD: ±12%"
1960,historical,481,-14.71,-0.86,-0.65,9.06,6.65,"Year: 1960
Mean change: -0.9%
SD: ±6.7%"
1960,historical,482,-13.43,-0.73,-1.77,9.72,6.87,"Year: 1960
Mean change: -0.7%
SD: ±6.9%"
1960,historical,483,-3.56,1.67,1.96,6.23,3.08,"Year: 1960
Mean change: 1.7%
SD: ±3.1%"
1960,historical,484,-17.33,-3.4,-2.33,3.69,6.33,"Year: 1960
Mean change: -3.4%
SD: ±6.3%"
1960,historical,485,-33.02,-8.19,-5.47,14.57,15.21,"Year: 1960
Mean change: -8.2%
SD: ±15.2%"
