year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip
1977,historical,Heard Island and McDonald Islands,-8.83,-1,1.44,3.91,4.77,"Year: 1977
Mean change: -1%
SD: ±4.8%"
1977,historical,Kerguelen Islands,-10.05,-1.18,-0.55,9.14,5.2,"Year: 1977
Mean change: -1.2%
SD: ±5.2%"
1977,historical,Prince Edward Islands,-11.96,1.04,1.37,19.09,8.17,"Year: 1977
Mean change: 1%
SD: ±8.2%"
1978,historical,Crozet Islands,-15.32,0.18,0.24,23.83,10.72,"Year: 1978
Mean change: 0.2%
SD: ±10.7%"
1978,historical,Heard Island and McDonald Islands,-11.05,-1.83,-1.24,5.84,5.57,"Year: 1978
Mean change: -1.8%
SD: ±5.6%"
1978,historical,Kerguelen Islands,-10.03,-0.64,-0.05,12.46,6.1,"Year: 1978
Mean change: -0.6%
SD: ±6.1%"
1978,historical,Prince Edward Islands,-9.93,0.62,0.8,18.19,7.63,"Year: 1978
Mean change: 0.6%
SD: ±7.6%"
1979,historical,Crozet Islands,-13.73,-0.31,0.67,12.89,7.04,"Year: 1979
Mean change: -0.3%
SD: ±7%"
1979,historical,Heard Island and McDonald Islands,-12.46,-0.7,0.24,7.1,5.85,"Year: 1979
Mean change: -0.7%
SD: ±5.8%"
1979,historical,Kerguelen Islands,-4.27,0.43,-0.86,13.78,5.74,"Year: 1979
Mean change: 0.4%
SD: ±5.7%"
1979,historical,Prince Edward Islands,-8.61,-0.29,-0.57,7.95,5.32,"Year: 1979
Mean change: -0.3%
SD: ±5.3%"
1980,historical,Crozet Islands,-12.83,-2.11,-1.27,5.94,5.32,"Year: 1980
Mean change: -2.1%
SD: ±5.3%"
1980,historical,Heard Island and McDonald Islands,-5.99,-1.07,-0.12,2.19,2.89,"Year: 1980
Mean change: -1.1%
SD: ±2.9%"
1980,historical,Kerguelen Islands,-3.91,-1.12,-1.36,2.39,1.96,"Year: 1980
Mean change: -1.1%
SD: ±2%"
1980,historical,Prince Edward Islands,-9.51,-1.07,-1.38,9.98,5.2,"Year: 1980
Mean change: -1.1%
SD: ±5.2%"
1981,historical,Crozet Islands,-12.44,-2.23,-1.19,7.4,5.32,"Year: 1981
Mean change: -2.2%
SD: ±5.3%"
1981,historical,Heard Island and McDonald Islands,-8.01,-2.41,-2.68,1.78,3.36,"Year: 1981
Mean change: -2.4%
SD: ±3.4%"
1981,historical,Kerguelen Islands,-10.41,-0.95,0.02,5.71,4.18,"Year: 1981
Mean change: -0.9%
SD: ±4.2%"
1981,historical,Prince Edward Islands,-10.53,-1.08,-1.1,11.72,5.88,"Year: 1981
Mean change: -1.1%
SD: ±5.9%"
1982,historical,Crozet Islands,-11.32,-1.3,-2.33,10.74,5.74,"Year: 1982
Mean change: -1.3%
SD: ±5.7%"
1982,historical,Heard Island and McDonald Islands,-7.33,-3.48,-5.2,3.37,3.67,"Year: 1982
Mean change: -3.5%
SD: ±3.7%"
1982,historical,Kerguelen Islands,-9.25,-2.78,-1.57,0.18,3.2,"Year: 1982
Mean change: -2.8%
SD: ±3.2%"
1982,historical,Prince Edward Islands,-10.78,-0.62,-0.96,13.43,6.34,"Year: 1982
Mean change: -0.6%
SD: ±6.3%"
1983,historical,Crozet Islands,-9.3,-2.19,-0.75,2.15,3.95,"Year: 1983
Mean change: -2.2%
SD: ±4%"
1983,historical,Heard Island and McDonald Islands,-13.12,-1.36,-0.17,3.11,4.62,"Year: 1983
Mean change: -1.4%
SD: ±4.6%"
1983,historical,Kerguelen Islands,-3.76,-0.01,-0.09,5.29,2.79,"Year: 1983
Mean change: 0%
SD: ±2.8%"
1983,historical,Prince Edward Islands,-9.82,-0.99,0.1,6.8,4.72,"Year: 1983
Mean change: -1%
SD: ±4.7%"
1984,historical,Crozet Islands,-8.64,-1.28,-0.63,4.63,4.7,"Year: 1984
Mean change: -1.3%
SD: ±4.7%"
1984,historical,Heard Island and McDonald Islands,-10.57,-0.87,0.21,4.6,4.95,"Year: 1984
Mean change: -0.9%
SD: ±5%"
1984,historical,Kerguelen Islands,-8.49,-0.77,-0.86,4.07,4.01,"Year: 1984
Mean change: -0.8%
SD: ±4%"
1984,historical,Prince Edward Islands,-9.29,-1.8,-2.33,4.18,3.85,"Year: 1984
Mean change: -1.8%
SD: ±3.9%"
1985,historical,Crozet Islands,-7.66,-0.69,-1.37,4.48,3.71,"Year: 1985
Mean change: -0.7%
SD: ±3.7%"
1985,historical,Heard Island and McDonald Islands,-7.38,-1.56,-1.29,3.01,3.54,"Year: 1985
Mean change: -1.6%
SD: ±3.5%"
1985,historical,Kerguelen Islands,-5.69,-1.31,-2.06,2.99,2.96,"Year: 1985
Mean change: -1.3%
SD: ±3%"
1985,historical,Prince Edward Islands,-9.45,0.06,0.22,9.64,5.7,"Year: 1985
Mean change: 0.1%
SD: ±5.7%"
1986,historical,Crozet Islands,-7.61,-1.27,-0.03,5.14,4.48,"Year: 1986
Mean change: -1.3%
SD: ±4.5%"
1986,historical,Heard Island and McDonald Islands,-6.1,-1.08,-1.89,4.18,3.52,"Year: 1986
Mean change: -1.1%
SD: ±3.5%"
1986,historical,Kerguelen Islands,-5.4,-0.65,-0.81,3.53,3.26,"Year: 1986
Mean change: -0.7%
SD: ±3.3%"
1986,historical,Prince Edward Islands,-8.8,-0.17,-0.69,6.73,4.61,"Year: 1986
Mean change: -0.2%
SD: ±4.6%"
1987,historical,Crozet Islands,-8.04,-0.4,0.78,5.39,4.33,"Year: 1987
Mean change: -0.4%
SD: ±4.3%"
1987,historical,Heard Island and McDonald Islands,-6.63,-0.49,-0.57,5.33,4.64,"Year: 1987
Mean change: -0.5%
SD: ±4.6%"
1987,historical,Kerguelen Islands,-4.95,-0.31,0.17,3.97,3.16,"Year: 1987
Mean change: -0.3%
SD: ±3.2%"
1987,historical,Prince Edward Islands,-8.06,1.14,-0.19,10.56,5.86,"Year: 1987
Mean change: 1.1%
SD: ±5.9%"
1988,historical,Crozet Islands,-8.37,2.11,1.99,15.57,7.52,"Year: 1988
Mean change: 2.1%
SD: ±7.5%"
1988,historical,Heard Island and McDonald Islands,-7.08,-0.58,-0.2,5.93,4.65,"Year: 1988
Mean change: -0.6%
SD: ±4.7%"
1988,historical,Kerguelen Islands,-9.12,1.39,2.4,7.96,5.21,"Year: 1988
Mean change: 1.4%
SD: ±5.2%"
1988,historical,Prince Edward Islands,-8.53,1.58,1.79,12.65,6.78,"Year: 1988
Mean change: 1.6%
SD: ±6.8%"
1989,historical,Crozet Islands,-8.59,-0.93,-2.14,7.51,4.86,"Year: 1989
Mean change: -0.9%
SD: ±4.9%"
1989,historical,Heard Island and McDonald Islands,-7.75,-1.22,-2.15,5.2,4.75,"Year: 1989
Mean change: -1.2%
SD: ±4.8%"
