year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
2015,ssp126,-3.84,-0.85,-0.65,3.36,2.01,Atlantic,"Year: 2015
Mean change: -0.8%
SD: ±2%"
2015,ssp585,-4.83,-0.56,-0.42,5.41,3.24,Atlantic,"Year: 2015
Mean change: -0.6%
SD: ±3.2%"
2016,ssp126,-0.87,0.45,-0.1,2.98,1.34,Atlantic,"Year: 2016
Mean change: 0.4%
SD: ±1.3%"
2016,ssp585,-8.45,-2.26,-1.27,3.64,3.36,Atlantic,"Year: 2016
Mean change: -2.3%
SD: ±3.4%"
2017,ssp126,-12.88,-2.7,-1.17,1.31,4.06,Atlantic,"Year: 2017
Mean change: -2.7%
SD: ±4.1%"
2017,ssp585,-4.56,0.07,0.34,4.18,2.6,Atlantic,"Year: 2017
Mean change: 0.1%
SD: ±2.6%"
2018,ssp126,-8.83,-3.09,-2.27,2.69,3.53,Atlantic,"Year: 2018
Mean change: -3.1%
SD: ±3.5%"
2018,ssp585,-3.03,-0.36,-0.52,2.73,2.01,Atlantic,"Year: 2018
Mean change: -0.4%
SD: ±2%"
2019,ssp126,-7.12,-1.32,-1.22,4.15,3.53,Atlantic,"Year: 2019
Mean change: -1.3%
SD: ±3.5%"
2019,ssp585,-4.98,-1.51,-1.78,3.36,2.83,Atlantic,"Year: 2019
Mean change: -1.5%
SD: ±2.8%"
2020,ssp126,-4.7,-0.76,-1.57,2.97,2.37,Atlantic,"Year: 2020
Mean change: -0.8%
SD: ±2.4%"
2020,ssp585,-8.13,-2.87,-2.33,3.3,3.53,Atlantic,"Year: 2020
Mean change: -2.9%
SD: ±3.5%"
2021,ssp126,-9.25,-1.38,-1,3.31,3.52,Atlantic,"Year: 2021
Mean change: -1.4%
SD: ±3.5%"
2021,ssp585,-8.05,-0.82,-1.87,6.9,5.07,Atlantic,"Year: 2021
Mean change: -0.8%
SD: ±5.1%"
2022,ssp126,-10.23,-1.98,-1.13,0.93,3.3,Atlantic,"Year: 2022
Mean change: -2%
SD: ±3.3%"
2022,ssp585,-4.23,0.68,0.71,7.08,3.01,Atlantic,"Year: 2022
Mean change: 0.7%
SD: ±3%"
2023,ssp126,-4.3,-0.7,-0.87,5.04,2.83,Atlantic,"Year: 2023
Mean change: -0.7%
SD: ±2.8%"
2023,ssp585,-8.68,-2.62,-1.56,2.58,3.2,Atlantic,"Year: 2023
Mean change: -2.6%
SD: ±3.2%"
2024,ssp126,-7.62,-1.49,-2.18,6.45,3.96,Atlantic,"Year: 2024
Mean change: -1.5%
SD: ±4%"
2024,ssp585,-3.35,-0.5,-0.91,3.33,1.95,Atlantic,"Year: 2024
Mean change: -0.5%
SD: ±2%"
2025,ssp126,-12.68,-2.89,-3.29,4.99,5.32,Atlantic,"Year: 2025
Mean change: -2.9%
SD: ±5.3%"
2025,ssp585,-2.86,1.41,-0.02,8.47,3.78,Atlantic,"Year: 2025
Mean change: 1.4%
SD: ±3.8%"
2026,ssp126,-5.05,-1.78,-2.31,1.36,2.18,Atlantic,"Year: 2026
Mean change: -1.8%
SD: ±2.2%"
2026,ssp585,-6.47,-2.23,-1.62,0.54,2.02,Atlantic,"Year: 2026
Mean change: -2.2%
SD: ±2%"
2027,ssp126,-2.59,-0.55,-0.86,3.72,1.88,Atlantic,"Year: 2027
Mean change: -0.6%
SD: ±1.9%"
2027,ssp585,-5.86,-2.38,-2.17,1.53,2.25,Atlantic,"Year: 2027
Mean change: -2.4%
SD: ±2.2%"
2028,ssp126,-4.98,-0.19,-0.69,8.19,4.13,Atlantic,"Year: 2028
Mean change: -0.2%
SD: ±4.1%"
2028,ssp585,-1.63,0.39,-0.59,5.97,2.42,Atlantic,"Year: 2028
Mean change: 0.4%
SD: ±2.4%"
2029,ssp126,-3.51,-0.31,-0.41,2.96,1.97,Atlantic,"Year: 2029
Mean change: -0.3%
SD: ±2%"
2029,ssp585,-4.24,-0.77,-1.18,2.01,1.81,Atlantic,"Year: 2029
Mean change: -0.8%
SD: ±1.8%"
