year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
2065,ssp126,-10.35,-4.17,-4.56,2.83,3.44,Heard Island and McDonald Islands,"Year: 2065
Mean change: -4.2%
SD: ±3.4%"
2065,ssp585,-18.9,-7.39,-8.54,4.75,7.23,Heard Island and McDonald Islands,"Year: 2065
Mean change: -7.4%
SD: ±7.2%"
2066,ssp126,-9.14,-2.02,-1.93,4.61,4.17,Heard Island and McDonald Islands,"Year: 2066
Mean change: -2%
SD: ±4.2%"
2066,ssp585,-22.38,-7.97,-7.78,4.3,7.5,Heard Island and McDonald Islands,"Year: 2066
Mean change: -8%
SD: ±7.5%"
2067,ssp126,-9.07,-3.44,-2.96,2.87,3.91,Heard Island and McDonald Islands,"Year: 2067
Mean change: -3.4%
SD: ±3.9%"
2067,ssp585,-17.15,-8.65,-8.89,0.46,5.51,Heard Island and McDonald Islands,"Year: 2067
Mean change: -8.7%
SD: ±5.5%"
2068,ssp126,-10.17,-6.39,-6.02,-4.15,2.09,Heard Island and McDonald Islands,"Year: 2068
Mean change: -6.4%
SD: ±2.1%"
2068,ssp585,-17.76,-8.74,-9.65,0.47,5.7,Heard Island and McDonald Islands,"Year: 2068
Mean change: -8.7%
SD: ±5.7%"
2069,ssp126,-9.65,-5.39,-5.48,-0.62,2.75,Heard Island and McDonald Islands,"Year: 2069
Mean change: -5.4%
SD: ±2.8%"
2069,ssp585,-18.43,-8.72,-9.87,4,6.07,Heard Island and McDonald Islands,"Year: 2069
Mean change: -8.7%
SD: ±6.1%"
2070,ssp126,-9.32,-4.36,-3.6,-1.56,2.49,Heard Island and McDonald Islands,"Year: 2070
Mean change: -4.4%
SD: ±2.5%"
2070,ssp585,-18.79,-9.92,-11.28,0.91,6.09,Heard Island and McDonald Islands,"Year: 2070
Mean change: -9.9%
SD: ±6.1%"
2071,ssp126,-9.1,-2.59,-2.02,3.53,3.91,Heard Island and McDonald Islands,"Year: 2071
Mean change: -2.6%
SD: ±3.9%"
2071,ssp585,-18.79,-11.2,-11.73,-1.34,6,Heard Island and McDonald Islands,"Year: 2071
Mean change: -11.2%
SD: ±6%"
2072,ssp126,-8.7,-3.86,-4.47,2.27,3.58,Heard Island and McDonald Islands,"Year: 2072
Mean change: -3.9%
SD: ±3.6%"
2072,ssp585,-18.69,-10.21,-11.18,-1.75,6,Heard Island and McDonald Islands,"Year: 2072
Mean change: -10.2%
SD: ±6%"
2073,ssp126,-8.67,-4.29,-4.89,1.54,3.19,Heard Island and McDonald Islands,"Year: 2073
Mean change: -4.3%
SD: ±3.2%"
2073,ssp585,-18.04,-8.82,-9.34,3.07,7.02,Heard Island and McDonald Islands,"Year: 2073
Mean change: -8.8%
SD: ±7%"
2074,ssp126,-10.25,-4.63,-5.04,-0.64,3.1,Heard Island and McDonald Islands,"Year: 2074
Mean change: -4.6%
SD: ±3.1%"
2074,ssp585,-19.35,-9.94,-11.07,2.05,6.69,Heard Island and McDonald Islands,"Year: 2074
Mean change: -9.9%
SD: ±6.7%"
2075,ssp126,-8.15,-3.87,-3.71,0.58,3.34,Heard Island and McDonald Islands,"Year: 2075
Mean change: -3.9%
SD: ±3.3%"
2075,ssp585,-17.71,-10.09,-11,2.55,6.06,Heard Island and McDonald Islands,"Year: 2075
Mean change: -10.1%
SD: ±6.1%"
2076,ssp126,-12.15,-2.14,-2.83,8.84,5.95,Heard Island and McDonald Islands,"Year: 2076
Mean change: -2.1%
SD: ±6%"
2076,ssp585,-21.01,-9.75,-10.71,9.7,8.58,Heard Island and McDonald Islands,"Year: 2076
Mean change: -9.8%
SD: ±8.6%"
2077,ssp126,-11.12,-4.48,-4.36,3.11,4.56,Heard Island and McDonald Islands,"Year: 2077
Mean change: -4.5%
SD: ±4.6%"
2077,ssp585,-19.7,-10.41,-11.34,1.14,6.71,Heard Island and McDonald Islands,"Year: 2077
Mean change: -10.4%
SD: ±6.7%"
2078,ssp126,-9.8,-5.83,-6.53,1.6,3.38,Heard Island and McDonald Islands,"Year: 2078
Mean change: -5.8%
SD: ±3.4%"
2078,ssp585,-21.54,-11.63,-12.05,1.45,6.74,Heard Island and McDonald Islands,"Year: 2078
Mean change: -11.6%
SD: ±6.7%"
2079,ssp126,-14.42,-3.91,-3.75,5.25,5.9,Heard Island and McDonald Islands,"Year: 2079
Mean change: -3.9%
SD: ±5.9%"
2079,ssp585,-21.19,-12.09,-13.48,0.27,6.72,Heard Island and McDonald Islands,"Year: 2079
Mean change: -12.1%
SD: ±6.7%"
2080,ssp126,-9.93,-4.61,-4.98,0.67,4.21,Heard Island and McDonald Islands,"Year: 2080
Mean change: -4.6%
SD: ±4.2%"
2080,ssp585,-20.44,-10.53,-10.53,1.87,6.91,Heard Island and McDonald Islands,"Year: 2080
Mean change: -10.5%
SD: ±6.9%"
2081,ssp126,-8.93,-4.26,-5.12,0.97,3.18,Heard Island and McDonald Islands,"Year: 2081
Mean change: -4.3%
SD: ±3.2%"
2081,ssp585,-18.73,-9.06,-9.66,2.76,6.81,Heard Island and McDonald Islands,"Year: 2081
Mean change: -9.1%
SD: ±6.8%"
2082,ssp126,-13.68,-5.9,-6.33,3.73,4.91,Heard Island and McDonald Islands,"Year: 2082
Mean change: -5.9%
SD: ±4.9%"
2082,ssp585,-23.35,-10.37,-11.82,4.96,8.37,Heard Island and McDonald Islands,"Year: 2082
Mean change: -10.4%
SD: ±8.4%"
2083,ssp126,-14.72,-7.28,-7.98,1.95,4.78,Heard Island and McDonald Islands,"Year: 2083
Mean change: -7.3%
SD: ±4.8%"
2083,ssp585,-22.76,-11.91,-13.91,2.07,7.39,Heard Island and McDonald Islands,"Year: 2083
Mean change: -11.9%
SD: ±7.4%"
2084,ssp126,-17.03,-7.16,-7.83,2.91,5.9,Heard Island and McDonald Islands,"Year: 2084
Mean change: -7.2%
SD: ±5.9%"
2084,ssp585,-23.55,-10.65,-12.94,5.33,8.77,Heard Island and McDonald Islands,"Year: 2084
Mean change: -10.7%
SD: ±8.8%"
2085,ssp126,-13.84,-6.61,-7.72,-0.88,4.07,Heard Island and McDonald Islands,"Year: 2085
Mean change: -6.6%
SD: ±4.1%"
2085,ssp585,-26.86,-12.25,-13.34,0.63,7.7,Heard Island and McDonald Islands,"Year: 2085
Mean change: -12.2%
SD: ±7.7%"
2086,ssp126,-14.74,-5.6,-5.36,1.33,4.4,Heard Island and McDonald Islands,"Year: 2086
Mean change: -5.6%
SD: ±4.4%"
2086,ssp585,-25.94,-13.79,-14.58,1.83,7.23,Heard Island and McDonald Islands,"Year: 2086
Mean change: -13.8%
SD: ±7.2%"
2087,ssp126,-14.91,-5.25,-5.44,4.16,5.19,Heard Island and McDonald Islands,"Year: 2087
Mean change: -5.2%
SD: ±5.2%"
2087,ssp585,-26.16,-14.34,-14.67,-0.95,6.99,Heard Island and McDonald Islands,"Year: 2087
Mean change: -14.3%
SD: ±7%"
2088,ssp126,-14.24,-6.56,-7.62,-0.83,4.02,Heard Island and McDonald Islands,"Year: 2088
Mean change: -6.6%
SD: ±4%"
2088,ssp585,-29.39,-14.04,-14.46,3.81,8.98,Heard Island and McDonald Islands,"Year: 2088
Mean change: -14%
SD: ±9%"
2089,ssp126,-13.13,-6.13,-6.2,1.7,4.08,Heard Island and McDonald Islands,"Year: 2089
Mean change: -6.1%
SD: ±4.1%"
2089,ssp585,-31.68,-15.39,-17.74,-0.81,9.2,Heard Island and McDonald Islands,"Year: 2089
Mean change: -15.4%
SD: ±9.2%"
2090,ssp126,-12.41,-6.64,-6.66,-1.16,3.47,Heard Island and McDonald Islands,"Year: 2090
Mean change: -6.6%
SD: ±3.5%"
2090,ssp585,-34.37,-15.81,-17.76,0.53,10.19,Heard Island and McDonald Islands,"Year: 2090
Mean change: -15.8%
SD: ±10.2%"
2091,ssp126,-13.13,-5.96,-7.6,3.17,5.5,Heard Island and McDonald Islands,"Year: 2091
Mean change: -6%
SD: ±5.5%"
2091,ssp585,-30.98,-15.13,-16.43,0.8,9.67,Heard Island and McDonald Islands,"Year: 2091
Mean change: -15.1%
SD: ±9.7%"
2092,ssp126,-12.56,-5.89,-6.54,3.35,4.5,Heard Island and McDonald Islands,"Year: 2092
Mean change: -5.9%
SD: ±4.5%"
2092,ssp585,-31.53,-15.17,-16.97,4.55,10.48,Heard Island and McDonald Islands,"Year: 2092
Mean change: -15.2%
SD: ±10.5%"
2093,ssp126,-12.35,-6.4,-6.86,-1.15,3.21,Heard Island and McDonald Islands,"Year: 2093
Mean change: -6.4%
SD: ±3.2%"
2093,ssp585,-26.26,-13.14,-12.27,6.91,9.98,Heard Island and McDonald Islands,"Year: 2093
Mean change: -13.1%
SD: ±10%"
2094,ssp126,-14.46,-7.83,-8.74,-1.61,4.29,Heard Island and McDonald Islands,"Year: 2094
Mean change: -7.8%
SD: ±4.3%"
2094,ssp585,-32.73,-13.72,-15.4,7.07,11.96,Heard Island and McDonald Islands,"Year: 2094
Mean change: -13.7%
SD: ±12%"
2095,ssp126,-12.37,-4.6,-5.45,3.28,5.4,Heard Island and McDonald Islands,"Year: 2095
Mean change: -4.6%
SD: ±5.4%"
2095,ssp585,-27.72,-13.89,-14.22,0.91,10,Heard Island and McDonald Islands,"Year: 2095
Mean change: -13.9%
SD: ±10%"
2096,ssp126,-15.08,-5.78,-5.94,2.95,6.02,Heard Island and McDonald Islands,"Year: 2096
Mean change: -5.8%
SD: ±6%"
2096,ssp585,-34.14,-14.93,-16.64,3.17,11.39,Heard Island and McDonald Islands,"Year: 2096
Mean change: -14.9%
SD: ±11.4%"
2097,ssp126,-14.99,-8.6,-8.52,-4.11,3.18,Heard Island and McDonald Islands,"Year: 2097
Mean change: -8.6%
SD: ±3.2%"
2097,ssp585,-32.02,-14.9,-16.83,6.1,11.02,Heard Island and McDonald Islands,"Year: 2097
Mean change: -14.9%
SD: ±11%"
2098,ssp126,-16.25,-9.12,-9.84,1.72,4.79,Heard Island and McDonald Islands,"Year: 2098
Mean change: -9.1%
SD: ±4.8%"
2098,ssp585,-39.78,-16.35,-18.01,8.67,13.39,Heard Island and McDonald Islands,"Year: 2098
Mean change: -16.4%
SD: ±13.4%"
2099,ssp126,-15.89,-7.4,-8.81,5.61,5.81,Heard Island and McDonald Islands,"Year: 2099
Mean change: -7.4%
SD: ±5.8%"
2099,ssp585,-34.17,-16.27,-17.73,5.1,11.76,Heard Island and McDonald Islands,"Year: 2099
Mean change: -16.3%
SD: ±11.8%"
2100,ssp126,-14.12,-6.79,-6.13,1.62,4.68,Heard Island and McDonald Islands,"Year: 2100
Mean change: -6.8%
SD: ±4.7%"
2100,ssp585,-32.09,-17.01,-19.41,2.43,10.97,Heard Island and McDonald Islands,"Year: 2100
Mean change: -17%
SD: ±11%"
1950,historical,-9.13,-4.92,-5.97,1.44,3.43,Indian,"Year: 1950
Mean change: -4.9%
SD: ±3.4%"
1951,historical,-11.65,-6.8,-7.63,0.7,4.01,Indian,"Year: 1951
Mean change: -6.8%
SD: ±4%"
1952,historical,-9.57,-4.32,-4.97,0.68,3.09,Indian,"Year: 1952
Mean change: -4.3%
SD: ±3.1%"
1953,historical,-9.21,-4.2,-4.52,0.4,3.03,Indian,"Year: 1953
Mean change: -4.2%
SD: ±3%"
1954,historical,-8.84,-3.25,-2.45,0.77,2.88,Indian,"Year: 1954
Mean change: -3.2%
SD: ±2.9%"
1955,historical,-6.83,-3.85,-3.65,0.38,2.49,Indian,"Year: 1955
Mean change: -3.9%
SD: ±2.5%"
1956,historical,-6.21,-2.99,-2.84,0.11,2.14,Indian,"Year: 1956
Mean change: -3%
SD: ±2.1%"
1957,historical,-6.57,-3.28,-3.04,0.3,2.38,Indian,"Year: 1957
Mean change: -3.3%
SD: ±2.4%"
1958,historical,-9.4,-4.26,-3.96,-0.06,3.02,Indian,"Year: 1958
Mean change: -4.3%
SD: ±3%"
1959,historical,-7.92,-5.01,-5.42,-0.4,2.68,Indian,"Year: 1959
Mean change: -5%
SD: ±2.7%"
1960,historical,-7.77,-2.67,-1.56,-0.52,2.35,Indian,"Year: 1960
Mean change: -2.7%
SD: ±2.4%"
1961,historical,-8.45,-3.26,-3.01,-0.18,2.64,Indian,"Year: 1961
Mean change: -3.3%
SD: ±2.6%"
1962,historical,-8.91,-4.06,-4.32,-0.49,3.08,Indian,"Year: 1962
Mean change: -4.1%
SD: ±3.1%"
1963,historical,-9.27,-3.9,-3.38,-0.6,2.62,Indian,"Year: 1963
Mean change: -3.9%
SD: ±2.6%"
1964,historical,-9.67,-5.52,-5.86,-1.21,2.76,Indian,"Year: 1964
Mean change: -5.5%
SD: ±2.8%"
1965,historical,-10.21,-2.95,-2.44,1.12,3.13,Indian,"Year: 1965
Mean change: -3%
SD: ±3.1%"
1966,historical,-10.64,-4.25,-4.78,0.96,3.86,Indian,"Year: 1966
Mean change: -4.2%
SD: ±3.9%"
1967,historical,-10.85,-3.79,-3.12,0.46,3.59,Indian,"Year: 1967
Mean change: -3.8%
SD: ±3.6%"
1968,historical,-10.85,-3.87,-3.24,0.66,3.59,Indian,"Year: 1968
Mean change: -3.9%
SD: ±3.6%"
1969,historical,-10.64,-2.7,-1.56,1.77,3.86,Indian,"Year: 1969
Mean change: -2.7%
SD: ±3.9%"
1970,historical,-10.36,-3.86,-3.99,1.13,3.38,Indian,"Year: 1970
Mean change: -3.9%
SD: ±3.4%"
1971,historical,-10.04,-2.39,-1.79,1.83,4.19,Indian,"Year: 1971
Mean change: -2.4%
SD: ±4.2%"
1972,historical,-9.8,-2.47,-0.75,3.01,4.25,Indian,"Year: 1972
Mean change: -2.5%
SD: ±4.2%"
1973,historical,-9.51,-3.6,-3.53,0.3,3.1,Indian,"Year: 1973
Mean change: -3.6%
SD: ±3.1%"
1974,historical,-9.09,-4.72,-4.21,0.01,3.38,Indian,"Year: 1974
Mean change: -4.7%
SD: ±3.4%"
1975,historical,-8.19,-4,-3.43,-0.34,2.96,Indian,"Year: 1975
Mean change: -4%
SD: ±3%"
1976,historical,-7.34,-3.76,-4.22,-0.58,2.44,Indian,"Year: 1976
Mean change: -3.8%
SD: ±2.4%"
1977,historical,-6.61,-3.26,-4.16,0.58,2.31,Indian,"Year: 1977
Mean change: -3.3%
SD: ±2.3%"
1978,historical,-7.78,-2.45,-3.01,5.25,3.56,Indian,"Year: 1978
Mean change: -2.5%
SD: ±3.6%"
1979,historical,-6.52,-2.08,-1.67,1.37,2.61,Indian,"Year: 1979
Mean change: -2.1%
SD: ±2.6%"
1980,historical,-5.44,-2.6,-3.55,2.4,2.48,Indian,"Year: 1980
Mean change: -2.6%
SD: ±2.5%"
1981,historical,-6.16,-3.02,-3.49,0.26,2.16,Indian,"Year: 1981
Mean change: -3%
SD: ±2.2%"
1982,historical,-6.69,-3.25,-3.97,2.31,2.84,Indian,"Year: 1982
Mean change: -3.2%
SD: ±2.8%"
1983,historical,-6.42,-1.59,-1.66,3.09,2.79,Indian,"Year: 1983
Mean change: -1.6%
SD: ±2.8%"
1984,historical,-8.29,-1.56,-1.78,5.36,3.84,Indian,"Year: 1984
Mean change: -1.6%
SD: ±3.8%"
1985,historical,-9.09,-2.51,-3.27,2.95,3.73,Indian,"Year: 1985
Mean change: -2.5%
SD: ±3.7%"
1986,historical,-7.86,-1.55,-1.41,3.12,3.9,Indian,"Year: 1986
Mean change: -1.6%
SD: ±3.9%"
1987,historical,-6.3,-1.63,-1.61,2.93,2.96,Indian,"Year: 1987
Mean change: -1.6%
SD: ±3%"
1988,historical,-5.19,-0.69,-1.29,4.37,3.59,Indian,"Year: 1988
Mean change: -0.7%
SD: ±3.6%"
1989,historical,-5.07,-0.89,-0.98,4.33,3.54,Indian,"Year: 1989
Mean change: -0.9%
SD: ±3.5%"
1990,historical,-8.19,-1.06,-1.74,5.38,4.44,Indian,"Year: 1990
Mean change: -1.1%
SD: ±4.4%"
1991,historical,-4.56,0.81,0.07,6.14,3.57,Indian,"Year: 1991
Mean change: 0.8%
SD: ±3.6%"
1992,historical,-6.59,-1.62,-3.52,5.94,5.19,Indian,"Year: 1992
Mean change: -1.6%
SD: ±5.2%"
1993,historical,-6.16,-0.29,0.97,4.95,3.88,Indian,"Year: 1993
Mean change: -0.3%
SD: ±3.9%"
1994,historical,-3.54,-0.54,-1.36,3.91,2.65,Indian,"Year: 1994
Mean change: -0.5%
SD: ±2.6%"
1995,historical,-4.72,0.12,1.25,4.16,3.44,Indian,"Year: 1995
Mean change: 0.1%
SD: ±3.4%"
1996,historical,-5.69,-2.03,-3.39,2.87,3.02,Indian,"Year: 1996
Mean change: -2%
SD: ±3%"
1997,historical,-6.83,-0.68,0.68,2.71,3.39,Indian,"Year: 1997
Mean change: -0.7%
SD: ±3.4%"
1998,historical,-4.32,-0.22,0.96,2.52,2.72,Indian,"Year: 1998
Mean change: -0.2%
SD: ±2.7%"
1999,historical,-4.46,-0.24,0.37,2.56,2.3,Indian,"Year: 1999
Mean change: -0.2%
SD: ±2.3%"
2000,historical,-4.86,-1.61,-1.4,1.62,2.36,Indian,"Year: 2000
Mean change: -1.6%
SD: ±2.4%"
2001,historical,-4.72,0.58,0.77,5.16,2.96,Indian,"Year: 2001
Mean change: 0.6%
SD: ±3%"
2002,historical,-4.52,0.42,1.1,2.84,1.98,Indian,"Year: 2002
Mean change: 0.4%
SD: ±2%"
2003,historical,-7.89,-2.83,-4.07,3.94,3.96,Indian,"Year: 2003
Mean change: -2.8%
SD: ±4%"
2004,historical,-7.33,-2.93,-3.46,1.78,2.96,Indian,"Year: 2004
Mean change: -2.9%
SD: ±3%"
2005,historical,-4.02,-2.13,-2.69,0.37,1.61,Indian,"Year: 2005
Mean change: -2.1%
SD: ±1.6%"
2006,historical,-6.4,-1.62,-0.89,0.53,2.15,Indian,"Year: 2006
Mean change: -1.6%
SD: ±2.1%"
2007,historical,-2.78,2.11,1.67,9.33,3.67,Indian,"Year: 2007
Mean change: 2.1%
SD: ±3.7%"
2008,historical,-1.29,1.18,1.12,3.62,1.65,Indian,"Year: 2008
Mean change: 1.2%
SD: ±1.6%"
2009,historical,-2.71,0.87,0.76,3.31,1.86,Indian,"Year: 2009
Mean change: 0.9%
SD: ±1.9%"
2010,historical,-7.23,-0.2,1.09,3.99,4,Indian,"Year: 2010
Mean change: -0.2%
SD: ±4%"
2011,historical,-4.01,-0.12,0.06,2.6,2.09,Indian,"Year: 2011
Mean change: -0.1%
SD: ±2.1%"
2012,historical,-2.9,0.32,0.08,2.56,1.69,Indian,"Year: 2012
Mean change: 0.3%
SD: ±1.7%"
2013,historical,-3.77,-0.18,-0.03,2.37,1.85,Indian,"Year: 2013
Mean change: -0.2%
SD: ±1.9%"
2014,historical,-2.38,-0.21,-0.32,2.39,1.47,Indian,"Year: 2014
Mean change: -0.2%
SD: ±1.5%"
2015,ssp126,-2.08,-0.51,-0.5,2.3,1.15,Indian,"Year: 2015
Mean change: -0.5%
SD: ±1.1%"
2015,ssp585,-3.19,-0.82,-0.84,2.28,1.47,Indian,"Year: 2015
Mean change: -0.8%
SD: ±1.5%"
2016,ssp126,-5.03,-1.21,-0.85,1.99,1.95,Indian,"Year: 2016
Mean change: -1.2%
SD: ±2%"
2016,ssp585,-8.78,-3.12,-3.43,2.3,3.05,Indian,"Year: 2016
Mean change: -3.1%
SD: ±3%"
2017,ssp126,-10.83,-4.58,-4.85,1.26,3.84,Indian,"Year: 2017
Mean change: -4.6%
SD: ±3.8%"
2017,ssp585,-4.9,-1.78,-1.68,2.47,2.12,Indian,"Year: 2017
Mean change: -1.8%
SD: ±2.1%"
2018,ssp126,-8.8,-4.45,-4.66,0.3,2.8,Indian,"Year: 2018
Mean change: -4.4%
SD: ±2.8%"
2018,ssp585,-6.82,-0.98,-0.81,3.02,3.03,Indian,"Year: 2018
Mean change: -1%
SD: ±3%"
2019,ssp126,-5.75,-3.73,-4.03,-0.9,1.64,Indian,"Year: 2019
Mean change: -3.7%
SD: ±1.6%"
2019,ssp585,-6.16,-0.02,0.46,4.09,3.03,Indian,"Year: 2019
Mean change: 0%
SD: ±3%"
2020,ssp126,-6.63,-2.72,-2.18,0.16,1.87,Indian,"Year: 2020
Mean change: -2.7%
SD: ±1.9%"
2020,ssp585,-7.4,-3.22,-3.16,2.11,2.72,Indian,"Year: 2020
Mean change: -3.2%
SD: ±2.7%"
2021,ssp126,-7.5,-2.52,-2.27,1.17,2.4,Indian,"Year: 2021
Mean change: -2.5%
SD: ±2.4%"
2021,ssp585,-5.74,-1.19,-1.17,3.76,3.2,Indian,"Year: 2021
Mean change: -1.2%
SD: ±3.2%"
2022,ssp126,-6.42,-3.49,-3.5,-1.05,1.83,Indian,"Year: 2022
Mean change: -3.5%
SD: ±1.8%"
2022,ssp585,-2.17,-0.89,-1.33,1.42,1.24,Indian,"Year: 2022
Mean change: -0.9%
SD: ±1.2%"
2023,ssp126,-10.13,-4.48,-3.88,-1.09,3.08,Indian,"Year: 2023
Mean change: -4.5%
SD: ±3.1%"
2023,ssp585,-3.25,-0.19,-0.69,3.79,2.13,Indian,"Year: 2023
Mean change: -0.2%
SD: ±2.1%"
2024,ssp126,-5.8,-2.79,-2.52,1.26,2.15,Indian,"Year: 2024
Mean change: -2.8%
SD: ±2.1%"
2024,ssp585,-1.09,0.18,-0.37,2.99,1.34,Indian,"Year: 2024
Mean change: 0.2%
SD: ±1.3%"
2025,ssp126,-5.4,-2.83,-2.65,1.16,2,Indian,"Year: 2025
Mean change: -2.8%
SD: ±2%"
2025,ssp585,-1.58,0.37,0.33,2.1,1.37,Indian,"Year: 2025
Mean change: 0.4%
SD: ±1.4%"
2026,ssp126,-5.74,-1.96,-2.13,2.84,2.54,Indian,"Year: 2026
Mean change: -2%
SD: ±2.5%"
2026,ssp585,-6.67,-2.06,-1.52,2.11,2.61,Indian,"Year: 2026
Mean change: -2.1%
SD: ±2.6%"
2027,ssp126,-6.08,-2.57,-2.31,1.29,2.54,Indian,"Year: 2027
Mean change: -2.6%
SD: ±2.5%"
2027,ssp585,-4.72,-1.7,-1.98,1.58,1.9,Indian,"Year: 2027
Mean change: -1.7%
SD: ±1.9%"
2028,ssp126,-6.02,-1.65,-2.03,2.43,2.77,Indian,"Year: 2028
Mean change: -1.6%
SD: ±2.8%"
2028,ssp585,-1.37,0.4,0.07,3.37,1.5,Indian,"Year: 2028
Mean change: 0.4%
SD: ±1.5%"
2029,ssp126,-5.23,-1.87,-2,0.6,2.21,Indian,"Year: 2029
Mean change: -1.9%
SD: ±2.2%"
2029,ssp585,-3.83,-1.4,-1.78,3.12,2.04,Indian,"Year: 2029
Mean change: -1.4%
SD: ±2%"
2030,ssp126,-8.38,-3.15,-3.56,3.94,3.02,Indian,"Year: 2030
Mean change: -3.1%
SD: ±3%"
2030,ssp585,-6.72,-2.05,-1.4,2.35,2.49,Indian,"Year: 2030
Mean change: -2%
SD: ±2.5%"
2031,ssp126,-7.85,-3.02,-3.1,5.51,3.52,Indian,"Year: 2031
Mean change: -3%
SD: ±3.5%"
2031,ssp585,-7.1,-2.4,-1.85,0.58,2.61,Indian,"Year: 2031
Mean change: -2.4%
SD: ±2.6%"
2032,ssp126,-5.75,-1.63,-2.59,3.06,2.89,Indian,"Year: 2032
Mean change: -1.6%
SD: ±2.9%"
2032,ssp585,-6.42,-3.24,-2.64,-1.73,1.75,Indian,"Year: 2032
Mean change: -3.2%
SD: ±1.8%"
2033,ssp126,-4.69,-2.5,-2.68,2.42,1.96,Indian,"Year: 2033
Mean change: -2.5%
SD: ±2%"
2033,ssp585,-5.27,-2.67,-2.6,-0.04,1.48,Indian,"Year: 2033
Mean change: -2.7%
SD: ±1.5%"
2034,ssp126,-3.17,-1.16,-1.59,5.81,2.6,Indian,"Year: 2034
Mean change: -1.2%
SD: ±2.6%"
2034,ssp585,-5.66,-2.01,-2.19,1.52,2.02,Indian,"Year: 2034
Mean change: -2%
SD: ±2%"
2035,ssp126,-5.44,-2.1,-2.85,6.73,3.39,Indian,"Year: 2035
Mean change: -2.1%
SD: ±3.4%"
2035,ssp585,-3.82,-1.45,-1.68,1.36,1.57,Indian,"Year: 2035
Mean change: -1.4%
SD: ±1.6%"
2036,ssp126,-4.56,-1.57,-2.7,3.05,2.37,Indian,"Year: 2036
Mean change: -1.6%
SD: ±2.4%"
2036,ssp585,-4.2,-0.72,-1.14,2.53,2.12,Indian,"Year: 2036
Mean change: -0.7%
SD: ±2.1%"
2037,ssp126,-3.47,-1.17,-1.84,2.57,2.05,Indian,"Year: 2037
Mean change: -1.2%
SD: ±2%"
2037,ssp585,-4.5,-0.67,-1.62,3.19,2.39,Indian,"Year: 2037
Mean change: -0.7%
SD: ±2.4%"
2038,ssp126,-6.03,-1.4,-1.12,3.71,2.64,Indian,"Year: 2038
Mean change: -1.4%
SD: ±2.6%"
2038,ssp585,-5.22,-1.91,-2.17,2.7,2.71,Indian,"Year: 2038
Mean change: -1.9%
SD: ±2.7%"
2039,ssp126,-7.33,-2.03,-2.16,4.63,3.32,Indian,"Year: 2039
Mean change: -2%
SD: ±3.3%"
2039,ssp585,-10.29,-2.72,-2.22,2.29,3.92,Indian,"Year: 2039
Mean change: -2.7%
SD: ±3.9%"
2040,ssp126,-6,-0.79,-1.08,4.37,3.7,Indian,"Year: 2040
Mean change: -0.8%
SD: ±3.7%"
2040,ssp585,-8.98,-3.05,-2.51,1.99,3.63,Indian,"Year: 2040
Mean change: -3%
SD: ±3.6%"
2041,ssp126,-5.15,-1.83,-2.81,4.34,2.85,Indian,"Year: 2041
Mean change: -1.8%
SD: ±2.9%"
2041,ssp585,-7.91,-2.58,-2.49,1.12,3.08,Indian,"Year: 2041
Mean change: -2.6%
SD: ±3.1%"
2042,ssp126,-5.26,-2.71,-3.63,4.95,3.09,Indian,"Year: 2042
Mean change: -2.7%
SD: ±3.1%"
2042,ssp585,-8.06,-2.16,-2.56,3.45,3.29,Indian,"Year: 2042
Mean change: -2.2%
SD: ±3.3%"
2043,ssp126,-5.34,-1.74,-2.83,5.62,3.21,Indian,"Year: 2043
Mean change: -1.7%
SD: ±3.2%"
2043,ssp585,-7.9,-3.56,-4.6,2.96,3.13,Indian,"Year: 2043
Mean change: -3.6%
SD: ±3.1%"
2044,ssp126,-7.78,-1.94,-3.03,7.12,4.53,Indian,"Year: 2044
Mean change: -1.9%
SD: ±4.5%"
2044,ssp585,-7.86,-2.76,-3.35,4.87,3.49,Indian,"Year: 2044
Mean change: -2.8%
SD: ±3.5%"
2045,ssp126,-8.68,-3.46,-3.68,6.51,4.19,Indian,"Year: 2045
Mean change: -3.5%
SD: ±4.2%"
2045,ssp585,-7.99,-3.69,-4.21,4.34,3.35,Indian,"Year: 2045
Mean change: -3.7%
SD: ±3.4%"
2046,ssp126,-9.04,-3.06,-3.32,4.25,3.9,Indian,"Year: 2046
Mean change: -3.1%
SD: ±3.9%"
2046,ssp585,-8.35,-2.43,-3.35,6.75,4.78,Indian,"Year: 2046
Mean change: -2.4%
SD: ±4.8%"
2047,ssp126,-7.55,-2.35,-3.2,4.19,3.91,Indian,"Year: 2047
Mean change: -2.4%
SD: ±3.9%"
2047,ssp585,-8.93,-1.11,-2.92,10.84,6.52,Indian,"Year: 2047
Mean change: -1.1%
SD: ±6.5%"
2048,ssp126,-6.93,-1.35,-2.23,5.59,3.66,Indian,"Year: 2048
Mean change: -1.4%
SD: ±3.7%"
2048,ssp585,-9.26,-2.48,-2.69,3.98,4.25,Indian,"Year: 2048
Mean change: -2.5%
SD: ±4.2%"
2049,ssp126,-7.76,-2.87,-3.72,5.88,4.17,Indian,"Year: 2049
Mean change: -2.9%
SD: ±4.2%"
2049,ssp585,-9.03,-3.17,-3.61,6.17,4.55,Indian,"Year: 2049
Mean change: -3.2%
SD: ±4.6%"
